"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"29","94","Giovo - Bosch","01-01-2017 00:00","-1.6","83.2","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 01:00","-1.2","81.3","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 02:00","-1.3","82.0","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 03:00","-2.2","84.5","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 04:00","-2.1","84.2","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 05:00","-1.7","81.7","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 06:00","-1.7","80.8","0.0","0.0","0.1","0.0"
"29","94","Giovo - Bosch","01-01-2017 07:00","-2.2","82.3","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 08:00","-2.3","82.4","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 09:00","-2.1","81.4","0.0","0.0","0.0","0.1"
"29","94","Giovo - Bosch","01-01-2017 10:00","0.7","69.5","0.0","0.0","0.0","0.55"
"29","94","Giovo - Bosch","01-01-2017 11:00","3.0","61.0","0.0","0.0","0.1","0.95"
"29","94","Giovo - Bosch","01-01-2017 12:00","5.0","53.7","0.0","0.0","0.2","1.24"
"29","94","Giovo - Bosch","01-01-2017 13:00","7.0","45.3","0.0","0.0","0.2","1.28"
"29","94","Giovo - Bosch","01-01-2017 14:00","8.2","39.1","0.0","0.0","0.0","1.14"
"29","94","Giovo - Bosch","01-01-2017 15:00","6.6","42.5","0.0","0.0","0.0","0.46"
"29","94","Giovo - Bosch","01-01-2017 16:00","4.1","53.0","0.0","0.0","0.0","0.1"
"29","94","Giovo - Bosch","01-01-2017 17:00","2.3","61.3","0.0","0.0","0.0","0.04"
"29","94","Giovo - Bosch","01-01-2017 18:00","0.6","70.9","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 19:00","-0.5","75.7","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 20:00","-1.5","79.1","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 21:00","-2.1","81.6","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 22:00","-1.8","81.8","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","01-01-2017 23:00","-2.8","83.9","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","02-01-2017 00:00","-3.5","86.9","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","02-01-2017 01:00","-3.8","86.6","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","02-01-2017 02:00","-3.7","86.3","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","02-01-2017 03:00","-4.2","88.7","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","02-01-2017 04:00","-3.6","85.9","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","02-01-2017 05:00","-4.3","88.5","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","02-01-2017 06:00","-4.3","87.6","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","02-01-2017 07:00","-4.3","87.6","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","02-01-2017 08:00","-4.2","86.1","0.0","0.0","0.0","0.0"
"29","94","Giovo - Bosch","02-01-2017 09:00","-3.8","85.0","0.0","0.0","0.0","0.09"
"29","94","Giovo - Bosch","02-01-2017 10:00","-0.1","70.0","0.0","0.0","0.1","0.51"
"29","94","Giovo - Bosch","02-01-2017 11:00","1.9","62.0","0.0","0.0","0.2","0.84"
"29","94","Giovo - Bosch","02-01-2017 12:00","4.0","54.5","0.0","0.0","0.1","1.18"
