"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"35","62","Loppio","01-01-2016 00:00","-0.6","89.1","0.0","0.0","0.2","0.0"
"35","62","Loppio","01-01-2016 01:00","-0.9","90.0","0.0","0.0","0.3","0.0"
"35","62","Loppio","01-01-2016 02:00","-1.3","90.4","0.0","0.0","0.2","0.0"
"35","62","Loppio","01-01-2016 03:00","-2.2","91.5","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2016 04:00","-2.7","92.4","0.0","0.0","0.1","0.0"
"35","62","Loppio","01-01-2016 05:00","-3.2","92.6","0.0","0.0","0.1","0.0"
"35","62","Loppio","01-01-2016 06:00","-3.9","92.6","0.0","0.0","0.2","0.0"
"35","62","Loppio","01-01-2016 07:00","-4.3","92.5","0.0","0.0","0.2","0.0"
"35","62","Loppio","01-01-2016 08:00","-4.9","92.3","0.0","0.0","0.1","0.0"
"35","62","Loppio","01-01-2016 09:00","-5.0","91.9","0.0","0.0","0.0","0.03"
"35","62","Loppio","01-01-2016 10:00","-4.3","92.0","0.0","0.0","0.4","0.1"
"35","62","Loppio","01-01-2016 11:00","-0.6","90.4","0.0","0.0","0.0","0.91"
"35","62","Loppio","01-01-2016 12:00","3.4","75.9","0.0","0.0","0.5","1.39"
"35","62","Loppio","01-01-2016 13:00","7.1","56.5","0.0","0.0","0.2","1.23"
"35","62","Loppio","01-01-2016 14:00","9.0","46.5","0.0","0.0","0.3","1.09"
"35","62","Loppio","01-01-2016 15:00","9.9","43.1","0.0","0.0","0.3","0.79"
"35","62","Loppio","01-01-2016 16:00","5.4","57.6","0.0","0.0","0.8","0.29"
"35","62","Loppio","01-01-2016 17:00","0.6","74.8","0.0","0.0","0.2","0.02"
"35","62","Loppio","01-01-2016 18:00","-1.7","83.5","0.0","0.0","0.4","0.0"
"35","62","Loppio","01-01-2016 19:00","-2.8","86.2","0.0","0.0","0.2","0.0"
"35","62","Loppio","01-01-2016 20:00","-3.5","88.5","0.0","0.0","0.3","0.0"
"35","62","Loppio","01-01-2016 21:00","-4.5","90.0","0.0","0.0","0.0","0.0"
"35","62","Loppio","01-01-2016 22:00","-4.3","90.9","0.0","0.0","0.2","0.0"
"35","62","Loppio","01-01-2016 23:00","-5.0","91.0","0.0","0.0","0.1","0.0"
"35","62","Loppio","02-01-2016 00:00","-4.5","91.1","0.0","0.0","0.0","0.0"
"35","62","Loppio","02-01-2016 01:00","-3.1","91.3","0.0","0.0","0.0","0.0"
"35","62","Loppio","02-01-2016 02:00","-2.6","90.8","0.0","0.0","0.0","0.0"
"35","62","Loppio","02-01-2016 03:00","-2.3","90.2","0.0","0.0","0.1","0.0"
"35","62","Loppio","02-01-2016 04:00","-2.0","89.7","0.0","0.0","0.0","0.0"
"35","62","Loppio","02-01-2016 05:00","-1.8","89.1","0.0","0.0","0.0","0.0"
"35","62","Loppio","02-01-2016 06:00","-1.7","89.0","0.0","0.0","0.0","0.0"
"35","62","Loppio","02-01-2016 07:00","-1.6","88.8","0.0","0.0","0.0","0.0"
"35","62","Loppio","02-01-2016 08:00","-1.5","89.3","0.0","0.0","0.2","0.0"
"35","62","Loppio","02-01-2016 09:00","-1.4","90.5","0.0","0.0","0.3","0.02"
"35","62","Loppio","02-01-2016 10:00","-1.1","90.4","0.0","0.0","0.0","0.11"
"35","62","Loppio","02-01-2016 11:00","-0.4","88.4","0.0","0.0","0.0","0.23"
"35","62","Loppio","02-01-2016 12:00","0.4","85.2","0.0","0.0","0.1","0.36"
"35","62","Loppio","02-01-2016 13:00","0.8","81.4","0.0","0.0","0.2","0.23"
"35","62","Loppio","02-01-2016 14:00","1.3","79.9","0.0","0.0","0.0","0.28"
"35","62","Loppio","02-01-2016 15:00","1.2","81.0","0.0","0.0","0.1","0.09"
"35","62","Loppio","02-01-2016 16:00","0.3","88.0","0.2","52.0","0.1","0.05"
"35","62","Loppio","02-01-2016 17:00","0.1","91.3","0.0","60.0","0.1","0.01"
"35","62","Loppio","02-01-2016 18:00","0.0","92.3","0.0","60.0","0.0","0.0"
"35","62","Loppio","02-01-2016 19:00","-0.2","93.1","0.0","60.0","0.0","0.0"
"35","62","Loppio","02-01-2016 20:00","-0.2","93.5","0.4","60.0","0.0","0.0"
"35","62","Loppio","02-01-2016 21:00","-0.3","94.0","0.0","60.0","0.0","0.0"
"35","62","Loppio","02-01-2016 22:00","-0.4","94.3","0.0","60.0","0.0","0.0"
"35","62","Loppio","02-01-2016 23:00","-0.4","94.5","0.0","60.0","0.0","0.0"
"35","62","Loppio","03-01-2016 00:00","-0.4","94.8","0.4","13.0","0.1","0.0"
"35","62","Loppio","03-01-2016 01:00","-0.4","94.8","0.4","0.0","0.0","0.0"
"35","62","Loppio","03-01-2016 02:00","-0.2","95.0","2.6","6.0","0.1","0.0"
"35","62","Loppio","03-01-2016 03:00","-0.2","95.1","0.4","60.0","0.0","0.0"
"35","62","Loppio","03-01-2016 04:00","-0.2","95.3","0.0","60.0","0.0","0.0"
"35","62","Loppio","03-01-2016 05:00","-0.3","95.3","0.0","39.0","0.1","0.0"
"35","62","Loppio","03-01-2016 06:00","-0.8","95.4","0.0","0.0","0.0","0.0"
"35","62","Loppio","03-01-2016 07:00","-0.6","95.4","0.0","0.0","0.0","0.0"
"35","62","Loppio","03-01-2016 08:00","-0.4","95.5","0.0","0.0","0.0","0.0"
"35","62","Loppio","03-01-2016 09:00","-0.2","95.6","0.0","9.0","0.1","0.0"
"35","62","Loppio","03-01-2016 10:00","0.1","95.4","0.0","60.0","0.0","0.04"
"35","62","Loppio","03-01-2016 11:00","0.9","94.9","0.0","60.0","0.3","0.1"
"35","62","Loppio","03-01-2016 12:00","1.4","92.9","0.0","60.0","0.1","0.16"
"35","62","Loppio","03-01-2016 13:00","1.7","88.9","0.0","60.0","0.4","0.18"
"35","62","Loppio","03-01-2016 14:00","1.2","89.8","0.0","60.0","0.1","0.14"
"35","62","Loppio","03-01-2016 15:00","0.6","91.7","0.0","60.0","0.1","0.06"
"35","62","Loppio","03-01-2016 16:00","0.7","92.8","0.0","60.0","0.4","0.06"
"35","62","Loppio","03-01-2016 17:00","0.5","93.1","0.0","60.0","0.3","0.0"
"35","62","Loppio","03-01-2016 18:00","0.3","93.8","0.0","60.0","0.1","0.0"
"35","62","Loppio","03-01-2016 19:00","0.2","94.2","0.0","60.0","0.1","0.0"
"35","62","Loppio","03-01-2016 20:00","0.2","94.6","0.0","60.0","0.1","0.0"
"35","62","Loppio","03-01-2016 21:00","0.2","94.9","0.0","60.0","0.3","0.0"
"35","62","Loppio","03-01-2016 22:00","0.2","95.3","0.0","60.0","0.3","0.0"
"35","62","Loppio","03-01-2016 23:00","0.2","95.5","0.0","60.0","0.3","0.0"
"35","62","Loppio","04-01-2016 00:00","0.2","95.7","0.0","60.0","0.0","0.0"
"35","62","Loppio","04-01-2016 01:00","0.3","95.9","0.0","60.0","0.0","0.0"
"35","62","Loppio","04-01-2016 02:00","0.3","95.9","0.0","60.0","0.1","0.0"
"35","62","Loppio","04-01-2016 03:00","0.6","96.0","0.0","60.0","1.3","0.0"
"35","62","Loppio","04-01-2016 04:00","0.7","96.0","0.0","60.0","1.6","0.0"
"35","62","Loppio","04-01-2016 05:00","0.3","95.8","0.2","60.0","0.1","0.0"
"35","62","Loppio","04-01-2016 06:00","0.1","95.7","0.4","60.0","0.1","0.0"
"35","62","Loppio","04-01-2016 07:00","-0.1","95.6","0.0","60.0","0.1","0.0"
"35","62","Loppio","04-01-2016 08:00","0.2","95.7","0.0","60.0","0.3","0.0"
"35","62","Loppio","04-01-2016 09:00","0.2","95.8","0.0","60.0","0.0","0.03"
"35","62","Loppio","04-01-2016 10:00","0.3","95.7","0.0","60.0","0.1","0.11"
"35","62","Loppio","04-01-2016 11:00","0.9","95.7","0.0","60.0","0.1","0.25"
"35","62","Loppio","04-01-2016 12:00","1.0","95.5","0.0","60.0","0.2","0.26"
"35","62","Loppio","04-01-2016 13:00","1.5","94.7","0.0","60.0","0.4","0.37"
"35","62","Loppio","04-01-2016 14:00","1.9","93.2","0.0","60.0","0.2","0.44"
"35","62","Loppio","04-01-2016 15:00","2.3","88.3","0.0","60.0","0.1","0.45"
