"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"36","89","Malga Flavona","01-01-2017 00:00","-3.5","84.0","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 01:00","-3.2","81.1","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 02:00","-3.9","85.3","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 03:00","-2.5","79.1","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 04:00","-2.2","77.0","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 05:00","-2.8","78.7","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 06:00","-2.8","78.4","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 07:00","-3.4","80.8","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 08:00","-3.8","82.0","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 09:00","-3.4","80.7","0.0","0.0","0.0","0.04"
"36","89","Malga Flavona","01-01-2017 10:00","-0.5","69.3","0.0","0.0","0.0","0.52"
"36","89","Malga Flavona","01-01-2017 11:00","1.3","62.6","0.0","0.0","0.0","0.98"
"36","89","Malga Flavona","01-01-2017 12:00","4.0","53.4","0.0","0.0","0.0","1.19"
"36","89","Malga Flavona","01-01-2017 13:00","5.3","46.2","0.0","0.0","0.0","1.22"
"36","89","Malga Flavona","01-01-2017 14:00","2.4","55.5","0.0","0.0","0.0","0.12"
"36","89","Malga Flavona","01-01-2017 15:00","1.6","58.2","0.0","0.0","0.0","0.09"
"36","89","Malga Flavona","01-01-2017 16:00","0.0","66.8","0.0","0.0","0.0","0.07"
"36","89","Malga Flavona","01-01-2017 17:00","-1.4","72.7","0.0","0.0","0.0","0.02"
"36","89","Malga Flavona","01-01-2017 18:00","-2.6","77.1","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 19:00","-3.7","81.5","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 20:00","-3.9","82.5","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 21:00","-4.5","83.8","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 22:00","-5.1","86.6","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","01-01-2017 23:00","-5.7","88.0","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 00:00","-5.3","87.8","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 01:00","-6.0","88.5","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 02:00","-6.0","89.4","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 03:00","-5.8","89.1","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 04:00","-5.9","88.5","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 05:00","-5.4","87.6","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 06:00","-6.1","88.2","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 07:00","-5.8","87.7","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 08:00","-5.7","87.5","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 09:00","-5.3","85.4","0.0","0.0","0.0","0.06"
"36","89","Malga Flavona","02-01-2017 10:00","-1.9","75.2","0.0","0.0","0.0","0.47"
"36","89","Malga Flavona","02-01-2017 11:00","0.5","64.5","0.0","0.0","0.0","0.87"
"36","89","Malga Flavona","02-01-2017 12:00","2.8","55.4","0.0","0.0","0.0","1.18"
"36","89","Malga Flavona","02-01-2017 13:00","3.9","49.9","0.0","0.0","0.0","1.19"
"36","89","Malga Flavona","02-01-2017 14:00","1.9","58.1","0.0","0.0","0.0","0.25"
"36","89","Malga Flavona","02-01-2017 15:00","1.8","63.1","0.0","0.0","0.0","0.2"
"36","89","Malga Flavona","02-01-2017 16:00","1.0","67.4","0.0","0.0","0.0","0.16"
"36","89","Malga Flavona","02-01-2017 17:00","0.1","74.5","0.0","0.0","0.0","0.04"
"36","89","Malga Flavona","02-01-2017 18:00","-1.1","81.2","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 19:00","-1.1","83.1","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 20:00","-1.0","83.9","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 21:00","-1.3","84.0","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 22:00","-1.4","81.3","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","02-01-2017 23:00","-1.4","78.7","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","03-01-2017 00:00","-1.0","75.5","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","03-01-2017 01:00","-0.2","70.3","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","03-01-2017 02:00","-0.3","71.6","0.0","0.0","0.0","0.0"
"36","89","Malga Flavona","03-01-2017 03:00","0.2","68.7","0.0","0.0","0.0","0.0"
