"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"39","92","Maso Callianer","01-01-2016 00:00","-0.4","84.7","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 01:00","-0.6","87.0","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 02:00","-0.7","87.5","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 03:00","-2.0","89.1","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 04:00","-2.8","92.7","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 05:00","-3.6","94.2","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 06:00","-4.4","95.2","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 07:00","-5.0","95.6","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 08:00","-5.1","95.4","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 09:00","-5.3","95.6","0.0","0.0","0.0","0.04"
"39","92","Maso Callianer","01-01-2016 10:00","-4.1","95.8","0.0","0.0","0.0","0.14"
"39","92","Maso Callianer","01-01-2016 11:00","1.4","82.0","0.0","0.0","0.2","0.83"
"39","92","Maso Callianer","01-01-2016 12:00","4.6","58.5","0.0","0.0","0.6","1.25"
"39","92","Maso Callianer","01-01-2016 13:00","6.4","50.6","0.0","0.0","0.3","1.34"
"39","92","Maso Callianer","01-01-2016 14:00","7.5","45.9","0.0","0.0","0.4","1.21"
"39","92","Maso Callianer","01-01-2016 15:00","7.4","46.8","0.0","0.0","0.9","0.91"
"39","92","Maso Callianer","01-01-2016 16:00","6.3","51.5","0.0","0.0","0.4","0.3"
"39","92","Maso Callianer","01-01-2016 17:00","2.0","67.1","0.0","0.0","0.0","0.02"
"39","92","Maso Callianer","01-01-2016 18:00","-1.3","83.4","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 19:00","-2.5","88.6","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 20:00","-3.4","91.6","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 21:00","-4.1","93.6","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 22:00","-4.3","94.6","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","01-01-2016 23:00","-4.1","95.2","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2016 00:00","-4.3","95.3","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2016 01:00","-4.0","95.7","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2016 02:00","-2.2","96.0","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2016 03:00","-1.3","95.5","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2016 04:00","-1.0","95.0","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2016 05:00","-0.9","92.9","0.0","0.0","0.1","0.0"
"39","92","Maso Callianer","02-01-2016 06:00","-1.7","92.7","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2016 07:00","-2.3","94.4","0.0","0.0","0.1","0.0"
"39","92","Maso Callianer","02-01-2016 08:00","-2.0","94.7","0.0","0.0","0.0","0.0"
"39","92","Maso Callianer","02-01-2016 09:00","-1.0","93.9","0.0","0.0","0.0","0.04"
"39","92","Maso Callianer","02-01-2016 10:00","0.0","89.9","0.0","0.0","0.2","0.13"
"39","92","Maso Callianer","02-01-2016 11:00","0.9","82.3","0.0","0.0","0.0","0.15"
"39","92","Maso Callianer","02-01-2016 12:00","1.5","77.4","0.0","0.0","0.1","0.28"
