"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"41","72","Mezzocorona Piovi Veci","01-01-2016 00:00","0.2","79.9","0.0","0.0","0.1","0.0"
"41","72","Mezzocorona Piovi Veci","01-01-2016 01:00","0.0","79.5","0.0","0.0","0.0","0.0"
"41","72","Mezzocorona Piovi Veci","01-01-2016 02:00","-0.1","77.6","0.0","0.0","0.2","0.0"
"41","72","Mezzocorona Piovi Veci","01-01-2016 03:00","-0.6","81.4","0.0","0.0","0.0","0.0"
"41","72","Mezzocorona Piovi Veci","01-01-2016 04:00","-1.6","84.9","0.0","0.0","0.0","0.0"
"41","72","Mezzocorona Piovi Veci","01-01-2016 05:00","-1.1","83.5","0.0","0.0","0.2","0.0"
"41","72","Mezzocorona Piovi Veci","01-01-2016 06:00","-1.6","85.6","0.0","0.0","0.1","0.0"
"41","72","Mezzocorona Piovi Veci","01-01-2016 07:00","-1.9","86.7","0.0","0.0","0.0","0.0"
"41","72","Mezzocorona Piovi Veci","01-01-2016 08:00","-2.8","88.5","0.0","0.0","0.1","0.0"
"41","72","Mezzocorona Piovi Veci","01-01-2016 09:00","-2.4","88.6","0.0","0.0","0.1","0.06"
"41","72","Mezzocorona Piovi Veci","01-01-2016 10:00","0.6","72.1","0.0","0.0","0.2","0.45"
"41","72","Mezzocorona Piovi Veci","01-01-2016 11:00","2.8","58.1","0.0","0.0","0.5","0.88"
"41","72","Mezzocorona Piovi Veci","01-01-2016 12:00","4.3","52.8","0.0","0.0","0.2","1.1"
"41","72","Mezzocorona Piovi Veci","01-01-2016 13:00","5.7","48.5","0.0","0.0","0.3","1.15"
"41","72","Mezzocorona Piovi Veci","01-01-2016 14:00","6.2","46.1","0.0","0.0","0.5","1.01"
"41","72","Mezzocorona Piovi Veci","01-01-2016 15:00","6.5","45.5","0.0","0.0","0.2","0.65"
"41","72","Mezzocorona Piovi Veci","01-01-2016 16:00","3.3","58.2","0.0","0.0","0.1","0.08"
"41","72","Mezzocorona Piovi Veci","01-01-2016 17:00","1.8","65.8","0.0","0.0","0.2","0.02"
"41","72","Mezzocorona Piovi Veci","01-01-2016 18:00","1.1","70.9","0.0","0.0","0.5","0.0"
"41","72","Mezzocorona Piovi Veci","01-01-2016 19:00","0.9","71.8","0.0","0.0","1.1","0.0"
"41","72","Mezzocorona Piovi Veci","01-01-2016 20:00","0.4","73.4","0.0","0.0","1.5","0.0"
"41","72","Mezzocorona Piovi Veci","01-01-2016 21:00","0.1","74.3","0.0","0.0","0.6","0.0"
