"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"42","58","Mezzolombardo","01-01-2016 00:00","-0.7","87.2","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","01-01-2016 01:00","-1.0","88.6","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","01-01-2016 02:00","-1.1","88.8","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","01-01-2016 03:00","-1.2","88.8","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","01-01-2016 04:00","-1.9","91.0","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","01-01-2016 05:00","-1.5","88.9","0.0","0.0","0.2","0.0"
"42","58","Mezzolombardo","01-01-2016 06:00","-1.4","87.8","0.0","0.0","0.1","0.0"
"42","58","Mezzolombardo","01-01-2016 07:00","-2.2","89.1","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","01-01-2016 08:00","-2.6","91.0","0.0","0.0","0.2","0.0"
"42","58","Mezzolombardo","01-01-2016 09:00","-2.9","90.4","0.0","0.0","0.1","0.03"
"42","58","Mezzolombardo","01-01-2016 10:00","-2.3","88.6","0.0","0.0","0.2","0.08"
"42","58","Mezzolombardo","01-01-2016 11:00","-1.5","85.4","0.0","0.0","0.3","0.09"
"42","58","Mezzolombardo","01-01-2016 12:00","-0.2","80.3","0.0","0.0","0.1","0.12"
"42","58","Mezzolombardo","01-01-2016 13:00","0.8","77.3","0.0","0.0","0.1","0.2"
"42","58","Mezzolombardo","01-01-2016 14:00","2.2","69.8","0.0","0.0","0.0","0.16"
"42","58","Mezzolombardo","01-01-2016 15:00","2.7","68.7","0.0","0.0","0.0","0.12"
"42","58","Mezzolombardo","01-01-2016 16:00","3.7","65.3","0.0","0.0","0.5","0.07"
"42","58","Mezzolombardo","01-01-2016 17:00","3.0","68.1","0.0","0.0","0.1","0.02"
"42","58","Mezzolombardo","01-01-2016 18:00","3.2","67.1","0.0","0.0","0.5","0.0"
"42","58","Mezzolombardo","01-01-2016 19:00","1.9","73.6","0.0","0.0","0.2","0.0"
"42","58","Mezzolombardo","01-01-2016 20:00","0.9","79.9","0.0","0.0","0.1","0.0"
"42","58","Mezzolombardo","01-01-2016 21:00","-0.8","85.5","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","01-01-2016 22:00","-2.4","92.6","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","01-01-2016 23:00","-2.6","92.7","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","02-01-2016 00:00","-3.5","95.1","0.0","0.0","0.1","0.0"
"42","58","Mezzolombardo","02-01-2016 01:00","-3.6","95.3","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","02-01-2016 02:00","-3.9","96.8","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","02-01-2016 03:00","-3.8","96.1","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","02-01-2016 04:00","-4.2","95.9","0.0","0.0","0.1","0.0"
"42","58","Mezzolombardo","02-01-2016 05:00","-4.2","96.0","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","02-01-2016 06:00","-4.2","96.7","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","02-01-2016 07:00","-4.3","96.6","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","02-01-2016 08:00","-4.5","96.8","0.0","0.0","0.0","0.0"
"42","58","Mezzolombardo","02-01-2016 09:00","-4.1","96.7","0.0","0.0","0.0","0.04"
"42","58","Mezzolombardo","02-01-2016 10:00","-2.6","95.9","0.0","0.0","0.0","0.09"
"42","58","Mezzolombardo","02-01-2016 11:00","-1.6","93.6","0.0","0.0","0.0","0.2"
"42","58","Mezzolombardo","02-01-2016 12:00","-0.9","91.1","0.0","0.0","0.1","0.28"
"42","58","Mezzolombardo","02-01-2016 13:00","0.3","85.4","0.0","0.0","0.4","0.5"
"42","58","Mezzolombardo","02-01-2016 14:00","1.2","80.9","0.0","0.0","0.1","0.37"
