"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"43","49","Mori","01-01-2016 00:00","-0.8","88.3","0.0","0.0","0.0","0.0"
"43","49","Mori","01-01-2016 01:00","-0.6","88.2","0.0","0.0","0.3","0.0"
"43","49","Mori","01-01-2016 02:00","-0.1","84.2","0.0","0.0","0.7","0.0"
"43","49","Mori","01-01-2016 03:00","-0.5","84.0","0.0","0.0","0.0","0.0"
"43","49","Mori","01-01-2016 04:00","-1.7","89.7","0.0","0.0","0.2","0.0"
"43","49","Mori","01-01-2016 05:00","-1.2","87.2","0.0","0.0","0.3","0.0"
"43","49","Mori","01-01-2016 06:00","-1.6","88.3","0.0","0.0","0.2","0.0"
"43","49","Mori","01-01-2016 07:00","-2.2","90.0","0.0","0.0","0.1","0.0"
"43","49","Mori","01-01-2016 08:00","-2.6","91.6","0.0","0.0","0.1","0.0"
"43","49","Mori","01-01-2016 09:00","-3.4","93.3","0.0","0.0","0.0","0.08"
"43","49","Mori","01-01-2016 10:00","0.0","83.6","0.0","0.0","0.1","0.71"
"43","49","Mori","01-01-2016 11:00","2.2","69.8","0.0","0.0","0.2","0.94"
"43","49","Mori","01-01-2016 12:00","3.7","63.5","0.0","0.0","0.4","1.06"
"43","49","Mori","01-01-2016 13:00","5.5","56.4","0.0","0.0","0.1","1.1"
"43","49","Mori","01-01-2016 14:00","6.1","53.6","0.0","0.0","0.6","1.0"
"43","49","Mori","01-01-2016 15:00","7.0","50.4","0.0","0.0","0.8","0.69"
"43","49","Mori","01-01-2016 16:00","5.1","55.7","0.0","0.0","0.2","0.1"
"43","49","Mori","01-01-2016 17:00","1.7","69.9","0.0","0.0","0.0","0.01"
"43","49","Mori","01-01-2016 18:00","-0.6","80.9","0.0","0.0","0.0","0.0"
"43","49","Mori","01-01-2016 19:00","-1.7","85.9","0.0","0.0","0.0","0.0"
"43","49","Mori","01-01-2016 20:00","-2.4","89.5","0.0","0.0","0.0","0.0"
"43","49","Mori","01-01-2016 21:00","-2.8","91.9","0.0","0.0","0.0","0.0"
