"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"47","60","Nomi","01-01-2017 00:00","-5.2","100.0","0.0","0.0","0.1","0.0"
"47","60","Nomi","01-01-2017 01:00","-5.9","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2017 02:00","-6.1","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2017 03:00","-6.6","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2017 04:00","-6.6","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2017 05:00","-5.9","100.0","0.0","0.0","0.2","0.0"
"47","60","Nomi","01-01-2017 06:00","-6.7","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2017 07:00","-7.3","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2017 08:00","-7.8","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2017 09:00","-7.4","100.0","0.0","0.0","0.0","0.05"
"47","60","Nomi","01-01-2017 10:00","-2.7","100.0","0.0","0.0","0.1","0.35"
"47","60","Nomi","01-01-2017 11:00","2.1","72.2","0.0","12.0","0.5","0.68"
"47","60","Nomi","01-01-2017 12:00","4.5","53.5","0.0","0.0","0.8","0.91"
"47","60","Nomi","01-01-2017 13:00","6.9","45.5","0.0","0.0","0.6","1.07"
"47","60","Nomi","01-01-2017 14:00","9.2","38.2","0.0","0.0","0.2","0.84"
"47","60","Nomi","01-01-2017 15:00","8.3","39.5","0.0","0.0","0.2","0.3"
"47","60","Nomi","01-01-2017 16:00","4.0","50.1","0.0","0.0","0.1","0.08"
"47","60","Nomi","01-01-2017 17:00","0.7","63.3","0.0","0.0","0.0","0.02"
"47","60","Nomi","01-01-2017 18:00","-1.4","78.9","0.0","0.0","0.1","0.0"
"47","60","Nomi","01-01-2017 19:00","-2.5","86.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2017 20:00","-3.9","97.6","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2017 21:00","-4.9","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2017 22:00","-5.2","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","01-01-2017 23:00","-5.3","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","02-01-2017 00:00","-6.2","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","02-01-2017 01:00","-6.8","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","02-01-2017 02:00","-7.0","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","02-01-2017 03:00","-7.4","100.0","0.0","0.0","0.1","0.0"
"47","60","Nomi","02-01-2017 04:00","-7.5","100.0","0.0","0.0","0.1","0.0"
"47","60","Nomi","02-01-2017 05:00","-7.5","100.0","0.0","0.0","0.1","0.0"
"47","60","Nomi","02-01-2017 06:00","-8.0","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","02-01-2017 07:00","-8.2","100.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","02-01-2017 08:00","-7.6","100.0","0.0","0.0","0.1","0.0"
"47","60","Nomi","02-01-2017 09:00","-7.4","100.0","0.0","0.0","0.1","0.06"
"47","60","Nomi","02-01-2017 10:00","-3.0","98.0","0.0","0.0","0.3","0.35"
"47","60","Nomi","02-01-2017 11:00","1.3","70.4","0.0","8.0","0.6","0.7"
"47","60","Nomi","02-01-2017 12:00","3.8","54.2","0.0","11.0","0.6","0.88"
"47","60","Nomi","02-01-2017 13:00","5.2","48.0","0.0","0.0","1.0","1.03"
"47","60","Nomi","02-01-2017 14:00","6.7","42.8","0.0","0.0","0.4","0.81"
"47","60","Nomi","02-01-2017 15:00","6.8","42.0","0.0","0.0","0.2","0.3"
"47","60","Nomi","02-01-2017 16:00","4.3","48.4","0.0","0.0","0.1","0.19"
"47","60","Nomi","02-01-2017 17:00","2.0","56.8","0.0","0.0","0.1","0.03"
"47","60","Nomi","02-01-2017 18:00","0.7","65.6","0.0","0.0","0.1","0.0"
"47","60","Nomi","02-01-2017 19:00","0.1","71.3","0.0","0.0","0.1","0.0"
"47","60","Nomi","02-01-2017 20:00","-0.6","77.7","0.0","0.0","0.1","0.0"
"47","60","Nomi","02-01-2017 21:00","-0.9","82.6","0.0","0.0","0.1","0.0"
"47","60","Nomi","02-01-2017 22:00","-1.4","86.3","0.0","0.0","0.1","0.0"
"47","60","Nomi","02-01-2017 23:00","-1.4","85.0","0.0","0.0","0.1","0.0"
"47","60","Nomi","03-01-2017 00:00","-1.8","87.4","0.0","0.0","0.1","0.0"
"47","60","Nomi","03-01-2017 01:00","-1.3","86.0","0.0","0.0","0.0","0.0"
"47","60","Nomi","03-01-2017 02:00","-0.2","73.7","0.0","0.0","0.1","0.0"
"47","60","Nomi","03-01-2017 03:00","-0.8","80.2","0.0","0.0","0.2","0.0"
"47","60","Nomi","03-01-2017 04:00","0.1","73.9","0.0","0.0","0.4","0.0"
"47","60","Nomi","03-01-2017 05:00","-0.6","75.7","0.0","0.0","0.3","0.0"
"47","60","Nomi","03-01-2017 06:00","-1.9","85.4","0.0","0.0","0.3","0.0"
"47","60","Nomi","03-01-2017 07:00","-2.0","83.2","0.0","0.0","0.5","0.0"
"47","60","Nomi","03-01-2017 08:00","1.7","50.7","0.0","0.0","1.2","0.0"
"47","60","Nomi","03-01-2017 09:00","-0.6","63.6","0.0","0.0","0.8","0.07"
"47","60","Nomi","03-01-2017 10:00","5.4","36.4","0.0","0.0","2.1","0.35"
"47","60","Nomi","03-01-2017 11:00","8.6","24.8","0.0","0.0","2.8","0.78"
"47","60","Nomi","03-01-2017 12:00","9.8","20.9","0.0","0.0","2.5","0.99"
"47","60","Nomi","03-01-2017 13:00","11.2","18.4","0.0","0.0","2.3","1.15"
"47","60","Nomi","03-01-2017 14:00","12.0","17.3","0.0","0.0","1.5","0.89"
"47","60","Nomi","03-01-2017 15:00","11.5","17.6","0.0","0.0","0.9","0.3"
"47","60","Nomi","03-01-2017 16:00","7.5","22.8","0.0","0.0","0.2","0.07"
"47","60","Nomi","03-01-2017 17:00","3.3","34.2","0.0","0.0","0.1","0.02"
"47","60","Nomi","03-01-2017 18:00","1.0","46.5","0.0","0.0","0.3","0.0"
"47","60","Nomi","03-01-2017 19:00","-0.5","53.1","0.0","0.0","0.4","0.0"
"47","60","Nomi","03-01-2017 20:00","-1.9","61.1","0.0","0.0","0.0","0.0"
"47","60","Nomi","03-01-2017 21:00","-3.1","70.7","0.0","0.0","0.0","0.0"
"47","60","Nomi","03-01-2017 22:00","-4.1","79.4","0.0","0.0","0.1","0.0"
"47","60","Nomi","03-01-2017 23:00","-4.4","78.2","0.0","0.0","0.1","0.0"
"47","60","Nomi","04-01-2017 00:00","-4.6","81.7","0.0","0.0","0.1","0.0"
"47","60","Nomi","04-01-2017 01:00","-4.4","80.0","0.0","0.0","0.3","0.0"
"47","60","Nomi","04-01-2017 02:00","-5.2","80.4","0.0","0.0","0.1","0.0"
"47","60","Nomi","04-01-2017 03:00","-6.0","86.4","0.0","0.0","0.1","0.0"
"47","60","Nomi","04-01-2017 04:00","-6.0","87.7","0.0","0.0","0.1","0.0"
"47","60","Nomi","04-01-2017 05:00","-5.0","81.6","0.0","0.0","0.3","0.0"
"47","60","Nomi","04-01-2017 06:00","-5.7","77.7","0.0","0.0","0.2","0.0"
"47","60","Nomi","04-01-2017 07:00","-6.7","82.7","0.0","0.0","0.1","0.0"
"47","60","Nomi","04-01-2017 08:00","-6.7","86.3","0.0","0.0","0.2","0.0"
"47","60","Nomi","04-01-2017 09:00","-6.1","82.9","0.0","0.0","0.2","0.05"
"47","60","Nomi","04-01-2017 10:00","-1.5","63.0","0.0","0.0","0.3","0.33"
"47","60","Nomi","04-01-2017 11:00","2.7","46.2","0.0","0.0","0.6","0.75"
