"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"53","67","Pergine","01-01-2016 00:00","-1.0","64.8","0.0","--","0.0","0.0"
"53","67","Pergine","01-01-2016 01:00","-1.2","66.3","0.0","--","0.1","0.0"
"53","67","Pergine","01-01-2016 02:00","-1.4","68.0","0.0","--","0.0","0.0"
"53","67","Pergine","01-01-2016 03:00","-1.6","67.5","0.0","--","0.0","0.0"
"53","67","Pergine","01-01-2016 04:00","-1.8","68.4","0.0","--","0.0","0.0"
"53","67","Pergine","01-01-2016 05:00","-1.8","70.9","0.0","--","0.0","0.0"
"53","67","Pergine","01-01-2016 06:00","-1.4","68.8","0.0","--","0.0","0.0"
"53","67","Pergine","01-01-2016 07:00","-1.8","71.8","0.0","--","0.1","0.0"
"53","67","Pergine","01-01-2016 08:00","-2.3","76.7","0.0","--","0.1","0.0"
"53","67","Pergine","01-01-2016 09:00","-1.9","79.2","0.0","--","0.0","0.04"
"53","67","Pergine","01-01-2016 10:00","-1.0","79.1","0.0","--","0.0","0.07"
"53","67","Pergine","01-01-2016 11:00","2.3","64.5","0.0","--","0.2","0.83"
"53","67","Pergine","01-01-2016 12:00","4.9","54.9","0.0","--","0.1","1.24"
"53","67","Pergine","01-01-2016 13:00","5.1","53.0","0.0","--","0.3","1.3"
"53","67","Pergine","01-01-2016 14:00","5.6","51.0","0.0","--","0.3","0.8"
"53","67","Pergine","01-01-2016 15:00","5.1","51.2","0.0","--","0.4","0.23"
"53","67","Pergine","01-01-2016 16:00","3.0","56.9","0.0","--","0.0","0.05"
"53","67","Pergine","01-01-2016 17:00","1.4","62.3","0.0","--","0.0","0.02"
"53","67","Pergine","01-01-2016 18:00","0.6","66.0","0.0","--","0.1","0.0"
"53","67","Pergine","01-01-2016 19:00","0.0","68.5","0.0","--","0.0","0.0"
"53","67","Pergine","01-01-2016 20:00","-0.6","69.9","0.0","--","0.0","0.0"
"53","67","Pergine","01-01-2016 21:00","-0.8","70.2","0.0","--","0.0","0.0"
"53","67","Pergine","01-01-2016 22:00","-1.4","72.5","0.0","--","0.0","0.0"
"53","67","Pergine","01-01-2016 23:00","-1.7","74.9","0.0","--","0.0","0.0"
"53","67","Pergine","02-01-2016 00:00","-1.9","75.2","0.0","--","0.0","0.0"
"53","67","Pergine","02-01-2016 01:00","-2.2","77.3","0.0","--","0.1","0.0"
"53","67","Pergine","02-01-2016 02:00","-2.3","78.2","0.0","--","0.0","0.0"
"53","67","Pergine","02-01-2016 03:00","-2.6","79.6","0.0","--","0.0","0.0"
"53","67","Pergine","02-01-2016 04:00","-2.5","80.1","0.0","--","0.0","0.0"
"53","67","Pergine","02-01-2016 05:00","-2.6","80.2","0.0","--","0.0","0.0"
"53","67","Pergine","02-01-2016 06:00","-2.6","80.6","0.0","--","0.0","0.0"
"53","67","Pergine","02-01-2016 07:00","-2.2","79.8","0.0","--","0.0","0.0"
"53","67","Pergine","02-01-2016 08:00","-2.4","80.0","0.0","--","0.0","0.0"
"53","67","Pergine","02-01-2016 09:00","-2.4","81.2","0.0","--","0.0","0.04"
"53","67","Pergine","02-01-2016 10:00","-1.9","80.2","0.0","--","0.0","0.12"
"53","67","Pergine","02-01-2016 11:00","-1.2","77.7","0.0","--","0.0","0.19"
"53","67","Pergine","02-01-2016 12:00","-0.7","75.3","0.0","--","0.0","0.3"
"53","67","Pergine","02-01-2016 13:00","0.9","68.6","0.0","--","0.0","0.47"
"53","67","Pergine","02-01-2016 14:00","1.4","65.7","0.0","--","0.1","0.32"
"53","67","Pergine","02-01-2016 15:00","0.8","69.5","0.0","--","0.1","0.18"
"53","67","Pergine","02-01-2016 16:00","-0.4","82.2","0.2","--","0.0","0.06"
"53","67","Pergine","02-01-2016 17:00","-1.2","92.9","0.4","--","0.0","0.0"
"53","67","Pergine","02-01-2016 18:00","-0.8","95.3","0.0","--","0.0","0.0"
"53","67","Pergine","02-01-2016 19:00","-0.5","95.6","0.6","--","0.0","0.0"
"53","67","Pergine","02-01-2016 20:00","-0.5","96.6","0.2","--","0.0","0.0"
"53","67","Pergine","02-01-2016 21:00","-0.6","97.0","0.8","--","0.0","0.0"
"53","67","Pergine","02-01-2016 22:00","-1.2","97.7","0.2","--","0.0","0.0"
"53","67","Pergine","02-01-2016 23:00","-1.8","98.4","0.0","--","0.0","0.0"
"53","67","Pergine","03-01-2016 00:00","-1.6","98.8","0.2","--","0.0","0.0"
"53","67","Pergine","03-01-2016 01:00","-1.3","98.8","0.4","--","0.0","0.0"
"53","67","Pergine","03-01-2016 02:00","-0.7","98.7","0.6","--","0.0","0.0"
"53","67","Pergine","03-01-2016 03:00","-1.0","98.6","0.0","--","0.0","0.0"
"53","67","Pergine","03-01-2016 04:00","-1.1","99.0","0.0","--","0.0","0.0"
"53","67","Pergine","03-01-2016 05:00","-1.0","98.9","0.0","--","0.0","0.0"
"53","67","Pergine","03-01-2016 06:00","-1.5","98.7","0.0","--","0.0","0.0"
"53","67","Pergine","03-01-2016 07:00","-1.5","98.6","0.0","--","0.0","0.0"
"53","67","Pergine","03-01-2016 08:00","-1.4","98.7","0.0","--","0.0","0.0"
"53","67","Pergine","03-01-2016 09:00","-1.7","98.3","0.0","--","0.0","0.01"
"53","67","Pergine","03-01-2016 10:00","-1.7","97.9","0.0","--","0.0","0.04"
"53","67","Pergine","03-01-2016 11:00","1.1","89.9","0.0","--","0.2","0.59"
"53","67","Pergine","03-01-2016 12:00","2.1","81.1","0.0","--","0.0","1.19"
"53","67","Pergine","03-01-2016 13:00","1.9","84.7","0.0","--","0.0","1.22"
"53","67","Pergine","03-01-2016 14:00","2.5","81.4","0.0","--","0.1","1.19"
"53","67","Pergine","03-01-2016 15:00","2.0","83.8","0.0","--","0.1","0.37"
"53","67","Pergine","03-01-2016 16:00","0.5","90.3","0.0","--","0.1","0.11"
"53","67","Pergine","03-01-2016 17:00","-0.2","96.1","0.0","--","0.0","0.01"
"53","67","Pergine","03-01-2016 18:00","-0.6","97.3","0.0","--","0.0","0.0"
"53","67","Pergine","03-01-2016 19:00","-0.8","98.1","0.0","--","0.0","0.0"
"53","67","Pergine","03-01-2016 20:00","-0.8","98.8","0.0","--","0.0","0.0"
"53","67","Pergine","03-01-2016 21:00","-0.8","99.1","0.0","--","0.0","0.0"
"53","67","Pergine","03-01-2016 22:00","-0.9","99.4","0.0","--","0.0","0.0"
"53","67","Pergine","03-01-2016 23:00","-0.9","99.5","0.0","--","0.0","0.0"
"53","67","Pergine","04-01-2016 00:00","-0.9","99.6","0.0","--","0.0","0.0"
"53","67","Pergine","04-01-2016 01:00","-0.9","99.8","0.0","--","0.1","0.0"
"53","67","Pergine","04-01-2016 02:00","-0.9","99.9","0.0","--","0.0","0.0"
"53","67","Pergine","04-01-2016 03:00","-0.9","99.9","0.0","--","0.0","0.0"
"53","67","Pergine","04-01-2016 04:00","-0.9","99.9","0.0","--","0.0","0.0"
"53","67","Pergine","04-01-2016 05:00","-0.9","100.0","0.0","--","0.0","0.0"
"53","67","Pergine","04-01-2016 06:00","-1.0","100.0","0.6","--","0.0","0.0"
"53","67","Pergine","04-01-2016 07:00","-1.1","100.0","0.2","--","0.0","0.0"
"53","67","Pergine","04-01-2016 08:00","-1.1","99.9","0.0","--","0.0","0.0"
"53","67","Pergine","04-01-2016 09:00","-1.1","99.9","0.0","--","0.0","0.02"
"53","67","Pergine","04-01-2016 10:00","-0.9","99.9","0.2","--","0.0","0.07"
"53","67","Pergine","04-01-2016 11:00","-0.5","99.6","0.0","--","0.1","0.31"
"53","67","Pergine","04-01-2016 12:00","-0.7","99.4","0.0","--","0.2","0.48"
"53","67","Pergine","04-01-2016 13:00","0.6","97.6","0.0","--","0.2","1.13"
"53","67","Pergine","04-01-2016 14:00","0.5","93.3","0.0","--","0.3","0.62"
"53","67","Pergine","04-01-2016 15:00","-0.1","95.8","0.0","--","0.1","0.3"
"53","67","Pergine","04-01-2016 16:00","-0.2","96.1","0.0","--","0.0","0.14"
"53","67","Pergine","04-01-2016 17:00","-0.6","96.4","0.0","--","0.0","0.04"
"53","67","Pergine","04-01-2016 18:00","-1.3","97.2","0.0","--","0.0","0.0"
"53","67","Pergine","04-01-2016 19:00","-2.0","97.8","0.0","--","0.0","0.0"
"53","67","Pergine","04-01-2016 20:00","-2.5","97.8","0.0","--","0.0","0.0"
"53","67","Pergine","04-01-2016 21:00","-3.0","97.4","0.0","--","0.0","0.0"
"53","67","Pergine","04-01-2016 22:00","-3.5","96.8","0.0","--","0.0","0.0"
"53","67","Pergine","04-01-2016 23:00","-3.6","96.6","0.0","--","0.0","0.0"
"53","67","Pergine","05-01-2016 00:00","-3.8","96.2","0.0","--","0.0","0.0"
"53","67","Pergine","05-01-2016 01:00","-4.1","96.1","0.0","--","0.0","0.0"
"53","67","Pergine","05-01-2016 02:00","-4.4","95.6","0.0","--","0.1","0.0"
"53","67","Pergine","05-01-2016 03:00","-4.2","95.6","0.0","--","0.0","0.0"
"53","67","Pergine","05-01-2016 04:00","-4.3","95.2","0.0","--","0.0","0.0"
"53","67","Pergine","05-01-2016 05:00","-4.1","95.2","0.0","--","0.1","0.0"
"53","67","Pergine","05-01-2016 06:00","-3.9","94.9","0.0","--","0.0","0.0"
"53","67","Pergine","05-01-2016 07:00","-3.8","94.1","0.0","--","0.0","0.0"
"53","67","Pergine","05-01-2016 08:00","-3.8","94.9","0.0","--","0.1","0.0"
"53","67","Pergine","05-01-2016 09:00","-3.5","95.4","0.0","--","0.1","0.05"
"53","67","Pergine","05-01-2016 10:00","-3.0","95.0","0.0","--","0.1","0.24"
"53","67","Pergine","05-01-2016 11:00","-1.9","92.8","0.0","--","0.1","0.74"
