"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"54","69","Pietramurata","01-01-2016 00:00","-0.4","81.7","0.0","0.0","0.2","0.0"
"54","69","Pietramurata","01-01-2016 01:00","-0.6","83.2","0.0","0.0","0.1","0.0"
"54","69","Pietramurata","01-01-2016 02:00","-0.9","85.4","0.0","0.0","0.1","0.0"
"54","69","Pietramurata","01-01-2016 03:00","-1.4","87.4","0.0","0.0","0.1","0.0"
"54","69","Pietramurata","01-01-2016 04:00","-1.9","88.9","0.0","0.0","0.0","0.0"
"54","69","Pietramurata","01-01-2016 05:00","-2.2","90.1","0.0","0.0","0.1","0.0"
"54","69","Pietramurata","01-01-2016 06:00","-3.1","92.6","0.0","0.0","0.0","0.0"
"54","69","Pietramurata","01-01-2016 07:00","-2.9","92.5","0.0","0.0","0.1","0.0"
"54","69","Pietramurata","01-01-2016 08:00","-3.8","94.0","0.0","0.0","0.2","0.0"
"54","69","Pietramurata","01-01-2016 09:00","-4.1","94.8","0.0","0.0","0.1","0.05"
"54","69","Pietramurata","01-01-2016 10:00","-2.3","92.9","0.0","0.0","0.0","0.24"
"54","69","Pietramurata","01-01-2016 11:00","2.3","71.3","0.0","0.0","0.3","0.71"
"54","69","Pietramurata","01-01-2016 12:00","4.8","56.9","0.0","0.0","0.5","1.02"
"54","69","Pietramurata","01-01-2016 13:00","6.3","51.3","0.0","0.0","0.7","1.09"
"54","69","Pietramurata","01-01-2016 14:00","7.4","47.8","0.0","0.0","0.5","0.98"
"54","69","Pietramurata","01-01-2016 15:00","7.1","48.4","0.0","0.0","0.7","0.68"
"54","69","Pietramurata","01-01-2016 16:00","5.4","52.8","0.0","0.0","0.3","0.18"
"54","69","Pietramurata","01-01-2016 17:00","1.4","69.5","0.0","0.0","0.0","0.02"
"54","69","Pietramurata","01-01-2016 18:00","-0.8","80.2","0.0","0.0","0.1","0.0"
"54","69","Pietramurata","01-01-2016 19:00","-1.5","82.8","0.0","0.0","0.0","0.0"
"54","69","Pietramurata","01-01-2016 20:00","-2.6","86.3","0.0","0.0","0.0","0.0"
"54","69","Pietramurata","01-01-2016 21:00","-3.4","89.7","0.0","0.0","0.0","0.0"
"54","69","Pietramurata","01-01-2016 22:00","-3.5","89.9","0.0","0.0","0.1","0.0"
"54","69","Pietramurata","01-01-2016 23:00","-4.3","92.5","0.0","0.0","0.1","0.0"
"54","69","Pietramurata","02-01-2016 00:00","-4.0","93.0","0.0","0.0","0.1","0.0"
"54","69","Pietramurata","02-01-2016 01:00","-4.6","93.0","0.0","0.0","0.2","0.0"
"54","69","Pietramurata","02-01-2016 02:00","-5.1","93.8","0.0","0.0","0.0","0.0"
"54","69","Pietramurata","02-01-2016 03:00","-4.9","94.6","0.0","0.0","0.1","0.0"
"54","69","Pietramurata","02-01-2016 04:00","-4.3","94.6","0.0","0.0","0.0","0.0"
"54","69","Pietramurata","02-01-2016 05:00","-4.5","94.7","0.0","0.0","0.0","0.0"
"54","69","Pietramurata","02-01-2016 06:00","-4.7","95.2","0.0","0.0","0.0","0.0"
"54","69","Pietramurata","02-01-2016 07:00","-4.5","95.2","0.0","0.0","0.1","0.0"
"54","69","Pietramurata","02-01-2016 08:00","-4.6","95.5","0.0","0.0","0.1","0.0"
"54","69","Pietramurata","02-01-2016 09:00","-4.0","95.2","0.0","0.0","0.1","0.05"
"54","69","Pietramurata","02-01-2016 10:00","-2.4","93.8","0.0","0.0","0.1","0.12"
"54","69","Pietramurata","02-01-2016 11:00","-0.7","90.8","0.0","0.0","0.0","0.25"
"54","69","Pietramurata","02-01-2016 12:00","0.2","88.2","0.0","0.0","0.0","0.32"
"54","69","Pietramurata","02-01-2016 13:00","1.0","79.7","0.0","0.0","0.5","0.4"
"54","69","Pietramurata","02-01-2016 14:00","1.3","76.7","0.0","0.0","0.1","0.27"
"54","69","Pietramurata","02-01-2016 15:00","1.6","72.7","0.0","0.0","0.1","0.14"
"54","69","Pietramurata","02-01-2016 16:00","0.7","84.8","0.2","50.0","0.4","0.06"
"54","69","Pietramurata","02-01-2016 17:00","0.0","94.2","0.0","60.0","0.5","0.01"
