"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"56","13","Polsa","01-01-2017 00:00","2.3","29.8","0.0","--","1.2","0.0"
"56","13","Polsa","01-01-2017 01:00","1.8","30.3","0.0","--","1.1","0.0"
"56","13","Polsa","01-01-2017 02:00","1.5","30.9","0.0","--","1.1","0.0"
"56","13","Polsa","01-01-2017 03:00","1.5","31.0","0.0","--","1.2","0.0"
"56","13","Polsa","01-01-2017 04:00","1.4","29.7","0.0","--","1.1","0.0"
"56","13","Polsa","01-01-2017 05:00","1.3","29.6","0.0","--","1.2","0.0"
"56","13","Polsa","01-01-2017 06:00","1.2","29.8","0.0","--","1.2","0.0"
"56","13","Polsa","01-01-2017 07:00","0.9","30.3","0.0","--","0.9","0.0"
"56","13","Polsa","01-01-2017 08:00","0.4","30.8","0.0","--","0.9","0.0"
"56","13","Polsa","01-01-2017 09:00","0.5","31.4","0.0","--","1.1","0.04"
"56","13","Polsa","01-01-2017 10:00","1.0","30.4","0.0","--","0.9","0.18"
"56","13","Polsa","01-01-2017 11:00","5.6","23.0","0.0","--","0.8","1.1"
"56","13","Polsa","01-01-2017 12:00","7.1","21.4","0.0","--","0.8","1.34"
"56","13","Polsa","01-01-2017 13:00","7.9","21.0","0.0","--","0.9","1.4"
"56","13","Polsa","01-01-2017 14:00","6.2","23.2","0.0","--","1.0","0.8"
"56","13","Polsa","01-01-2017 15:00","4.8","26.1","0.0","--","1.2","0.16"
"56","13","Polsa","01-01-2017 16:00","3.0","30.2","0.0","--","0.7","0.08"
"56","13","Polsa","01-01-2017 17:00","1.0","32.9","0.0","--","0.4","0.02"
"56","13","Polsa","01-01-2017 18:00","-0.2","34.6","0.0","--","0.5","0.0"
"56","13","Polsa","01-01-2017 19:00","-0.5","36.3","0.0","--","0.7","0.0"
"56","13","Polsa","01-01-2017 20:00","-0.7","37.7","0.0","--","0.8","0.0"
"56","13","Polsa","01-01-2017 21:00","-1.0","39.0","0.0","--","0.9","0.0"
"56","13","Polsa","01-01-2017 22:00","-1.1","40.5","0.0","--","0.9","0.0"
"56","13","Polsa","01-01-2017 23:00","-1.4","41.5","0.0","--","0.5","0.0"
"56","13","Polsa","02-01-2017 00:00","-2.1","44.1","0.0","--","0.5","0.0"
"56","13","Polsa","02-01-2017 01:00","-2.2","45.2","0.0","--","0.6","0.0"
"56","13","Polsa","02-01-2017 02:00","-2.4","46.1","0.0","--","0.3","0.0"
"56","13","Polsa","02-01-2017 03:00","-2.5","46.2","0.0","--","0.6","0.0"
"56","13","Polsa","02-01-2017 04:00","-2.4","45.2","0.0","--","0.7","0.0"
"56","13","Polsa","02-01-2017 05:00","-3.2","47.5","0.0","--","0.2","0.0"
"56","13","Polsa","02-01-2017 06:00","-3.0","46.1","0.0","--","0.5","0.0"
"56","13","Polsa","02-01-2017 07:00","-3.0","45.9","0.0","--","0.6","0.0"
"56","13","Polsa","02-01-2017 08:00","-3.0","46.4","0.0","--","0.6","0.0"
"56","13","Polsa","02-01-2017 09:00","-3.0","46.3","0.0","--","0.4","0.04"
"56","13","Polsa","02-01-2017 10:00","-2.7","47.1","0.0","--","0.4","0.18"
"56","13","Polsa","02-01-2017 11:00","1.6","35.7","0.0","--","0.9","1.07"
"56","13","Polsa","02-01-2017 12:00","3.1","33.9","0.0","--","1.3","1.32"
"56","13","Polsa","02-01-2017 13:00","4.5","33.7","0.0","--","1.0","1.4"
"56","13","Polsa","02-01-2017 14:00","3.0","40.5","0.0","--","1.0","0.73"
"56","13","Polsa","02-01-2017 15:00","2.4","48.2","0.0","--","0.7","0.26"
"56","13","Polsa","02-01-2017 16:00","1.3","55.6","0.0","--","0.7","0.24"
"56","13","Polsa","02-01-2017 17:00","-0.2","62.0","0.0","--","0.4","0.03"
"56","13","Polsa","02-01-2017 18:00","-0.8","66.8","0.0","--","0.2","0.0"
"56","13","Polsa","02-01-2017 19:00","-0.9","68.2","0.0","--","0.2","0.0"
"56","13","Polsa","02-01-2017 20:00","-1.2","69.6","0.0","--","0.3","0.0"
"56","13","Polsa","02-01-2017 21:00","-1.6","70.5","0.0","--","0.5","0.0"
"56","13","Polsa","02-01-2017 22:00","-1.8","71.1","0.0","--","0.7","0.0"
"56","13","Polsa","02-01-2017 23:00","-1.6","70.9","0.0","--","0.5","0.0"
"56","13","Polsa","03-01-2017 00:00","-1.5","69.2","0.0","--","0.6","0.0"
"56","13","Polsa","03-01-2017 01:00","-1.7","65.6","0.0","--","0.5","0.0"
"56","13","Polsa","03-01-2017 02:00","-0.5","44.2","0.0","--","0.7","0.0"
"56","13","Polsa","03-01-2017 03:00","-0.7","43.5","0.0","--","0.4","0.0"
"56","13","Polsa","03-01-2017 04:00","-0.7","39.5","0.0","--","0.7","0.0"
"56","13","Polsa","03-01-2017 05:00","-1.0","33.7","0.0","--","1.4","0.0"
"56","13","Polsa","03-01-2017 06:00","-1.9","38.5","0.0","--","1.5","0.0"
"56","13","Polsa","03-01-2017 07:00","-2.4","33.7","0.0","--","2.2","0.0"
"56","13","Polsa","03-01-2017 08:00","-2.6","28.2","0.0","--","1.8","0.0"
"56","13","Polsa","03-01-2017 09:00","-2.9","26.7","0.0","--","1.5","0.04"
"56","13","Polsa","03-01-2017 10:00","-2.9","27.8","0.0","--","1.2","0.18"
"56","13","Polsa","03-01-2017 11:00","0.5","25.8","0.0","--","0.7","1.11"
"56","13","Polsa","03-01-2017 12:00","2.3","23.4","0.0","--","0.7","1.36"
"56","13","Polsa","03-01-2017 13:00","2.2","24.3","0.0","--","1.0","1.42"
"56","13","Polsa","03-01-2017 14:00","1.2","25.8","0.0","--","1.0","0.82"
"56","13","Polsa","03-01-2017 15:00","0.2","26.8","0.0","--","1.2","0.19"
"56","13","Polsa","03-01-2017 16:00","-1.0","28.9","0.0","--","1.5","0.08"
"56","13","Polsa","03-01-2017 17:00","-2.4","39.0","0.0","--","1.1","0.03"
"56","13","Polsa","03-01-2017 18:00","-3.7","44.2","0.0","--","0.5","0.0"
"56","13","Polsa","03-01-2017 19:00","-4.4","48.7","0.0","--","0.5","0.0"
"56","13","Polsa","03-01-2017 20:00","-4.7","51.3","0.0","--","0.5","0.0"
"56","13","Polsa","03-01-2017 21:00","-5.1","51.2","0.0","--","0.7","0.0"
"56","13","Polsa","03-01-2017 22:00","-5.0","50.3","0.0","--","0.9","0.0"
"56","13","Polsa","03-01-2017 23:00","-4.9","47.9","0.0","--","0.9","0.0"
"56","13","Polsa","04-01-2017 00:00","-4.6","43.8","0.0","--","0.7","0.0"
"56","13","Polsa","04-01-2017 01:00","-4.8","43.7","0.0","--","0.8","0.0"
"56","13","Polsa","04-01-2017 02:00","-4.4","43.2","0.0","--","0.8","0.0"
"56","13","Polsa","04-01-2017 03:00","-4.6","42.6","0.0","--","0.4","0.0"
"56","13","Polsa","04-01-2017 04:00","-4.6","42.3","0.0","--","0.6","0.0"
"56","13","Polsa","04-01-2017 05:00","-4.2","42.1","0.0","--","0.6","0.0"
"56","13","Polsa","04-01-2017 06:00","-3.8","40.5","0.0","--","0.5","0.0"
"56","13","Polsa","04-01-2017 07:00","-3.3","37.9","0.0","--","0.5","0.0"
"56","13","Polsa","04-01-2017 08:00","-2.4","39.0","0.0","--","0.8","0.0"
"56","13","Polsa","04-01-2017 09:00","-2.0","34.9","0.0","--","1.2","0.05"
"56","13","Polsa","04-01-2017 10:00","-0.7","34.6","0.0","--","0.8","0.19"
"56","13","Polsa","04-01-2017 11:00","3.0","25.2","0.0","--","1.0","0.98"
"56","13","Polsa","04-01-2017 12:00","4.0","25.3","0.0","--","1.1","1.01"
"56","13","Polsa","04-01-2017 13:00","7.8","23.5","0.0","--","1.5","1.35"
"56","13","Polsa","04-01-2017 14:00","6.6","23.2","0.0","--","3.0","0.85"
"56","13","Polsa","04-01-2017 15:00","6.2","19.4","0.0","--","2.6","0.29"
"56","13","Polsa","04-01-2017 16:00","5.0","20.2","0.0","--","1.3","0.15"
"56","13","Polsa","04-01-2017 17:00","4.2","20.8","0.0","--","2.2","0.05"
"56","13","Polsa","04-01-2017 18:00","3.0","23.0","0.0","--","2.6","0.0"
"56","13","Polsa","04-01-2017 19:00","2.2","19.6","0.0","--","1.5","0.0"
"56","13","Polsa","04-01-2017 20:00","1.3","17.8","0.0","--","1.9","0.0"
"56","13","Polsa","04-01-2017 21:00","0.8","23.7","0.0","--","3.6","0.0"
"56","13","Polsa","04-01-2017 22:00","-1.4","37.4","0.0","--","3.6","0.0"
"56","13","Polsa","04-01-2017 23:00","-2.1","38.6","0.0","--","2.7","0.0"
"56","13","Polsa","05-01-2017 00:00","-3.4","55.6","0.0","--","3.2","0.0"
"56","13","Polsa","05-01-2017 01:00","-4.5","58.3","0.0","--","2.9","0.0"
"56","13","Polsa","05-01-2017 02:00","-4.2","34.0","0.0","--","3.7","0.0"
"56","13","Polsa","05-01-2017 03:00","-3.8","25.4","0.0","--","3.9","0.0"
"56","13","Polsa","05-01-2017 04:00","-3.7","26.4","0.0","--","4.4","0.0"
"56","13","Polsa","05-01-2017 05:00","-3.6","27.5","0.0","--","3.7","0.0"
"56","13","Polsa","05-01-2017 06:00","-4.1","32.0","0.0","--","4.2","0.0"
"56","13","Polsa","05-01-2017 07:00","-4.6","22.3","0.0","--","5.3","0.0"
"56","13","Polsa","05-01-2017 08:00","-5.5","26.7","0.0","--","4.8","0.0"
"56","13","Polsa","05-01-2017 09:00","-6.0","24.4","0.0","--","5.5","0.1"
"56","13","Polsa","05-01-2017 10:00","-5.6","20.4","0.0","--","5.6","0.35"
"56","13","Polsa","05-01-2017 11:00","-4.8","17.2","0.0","--","6.1","1.1"
"56","13","Polsa","05-01-2017 12:00","-5.0","17.3","0.0","--","6.5","1.13"
"56","13","Polsa","05-01-2017 13:00","-4.9","18.9","0.0","--","4.4","1.04"
"56","13","Polsa","05-01-2017 14:00","-5.1","17.5","0.0","--","5.6","0.76"
"56","13","Polsa","05-01-2017 15:00","-6.0","18.8","0.0","--","4.7","0.44"
"56","13","Polsa","05-01-2017 16:00","-6.7","21.6","0.0","--","3.6","0.21"
"56","13","Polsa","05-01-2017 17:00","-7.4","19.1","0.0","--","3.3","0.04"
"56","13","Polsa","05-01-2017 18:00","-8.0","19.2","0.0","--","3.5","0.0"
"56","13","Polsa","05-01-2017 19:00","-8.2","19.1","0.0","--","4.5","0.0"
"56","13","Polsa","05-01-2017 20:00","-8.5","20.1","0.0","--","3.6","0.0"
"56","13","Polsa","05-01-2017 21:00","-8.7","21.3","0.0","--","3.5","0.0"
"56","13","Polsa","05-01-2017 22:00","-8.9","22.5","0.0","--","3.1","0.0"
"56","13","Polsa","05-01-2017 23:00","-9.2","23.9","0.0","--","2.9","0.0"
"56","13","Polsa","06-01-2017 00:00","-9.5","22.9","0.0","--","3.1","0.0"
"56","13","Polsa","06-01-2017 01:00","-9.7","23.3","0.0","--","3.6","0.0"
"56","13","Polsa","06-01-2017 02:00","-9.8","23.9","0.0","--","3.6","0.0"
"56","13","Polsa","06-01-2017 03:00","-10.0","23.2","0.0","--","3.6","0.0"
"56","13","Polsa","06-01-2017 04:00","-9.9","20.7","0.0","--","4.0","0.0"
"56","13","Polsa","06-01-2017 05:00","-10.1","20.9","0.0","--","3.8","0.0"
"56","13","Polsa","06-01-2017 06:00","-10.1","18.8","0.0","--","2.0","0.0"
"56","13","Polsa","06-01-2017 07:00","-11.6","29.5","0.0","--","0.9","0.0"
"56","13","Polsa","06-01-2017 08:00","-12.6","32.4","0.0","--","0.4","0.0"
"56","13","Polsa","06-01-2017 09:00","-11.8","27.4","0.0","--","0.7","0.04"
"56","13","Polsa","06-01-2017 10:00","-11.9","32.1","0.0","--","1.2","0.18"
"56","13","Polsa","06-01-2017 11:00","-7.7","23.4","0.0","--","1.1","1.15"
"56","13","Polsa","06-01-2017 12:00","-5.4","19.8","0.0","--","0.8","1.38"
"56","13","Polsa","06-01-2017 13:00","-5.1","19.7","0.0","--","1.0","1.44"
"56","13","Polsa","06-01-2017 14:00","-5.4","19.8","0.0","--","1.0","0.86"
"56","13","Polsa","06-01-2017 15:00","-6.3","20.0","0.0","--","0.8","0.31"
"56","13","Polsa","06-01-2017 16:00","-7.6","22.4","0.0","--","0.5","0.08"
"56","13","Polsa","06-01-2017 17:00","-8.7","21.8","0.0","--","1.0","0.03"
"56","13","Polsa","06-01-2017 18:00","-10.0","24.4","0.0","--","0.7","0.0"
"56","13","Polsa","06-01-2017 19:00","-10.4","25.2","0.0","--","0.9","0.0"
"56","13","Polsa","06-01-2017 20:00","-10.7","29.2","0.0","--","0.7","0.0"
"56","13","Polsa","06-01-2017 21:00","-10.8","29.9","0.0","--","0.9","0.0"
"56","13","Polsa","06-01-2017 22:00","-11.0","31.4","0.0","--","0.6","0.0"
"56","13","Polsa","06-01-2017 23:00","-11.2","32.2","0.0","--","0.7","0.0"
