"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"62","47","Romagnano","01-01-2016 00:00","4.5","74.0","0.0","--","0.2","0.0"
"62","47","Romagnano","01-01-2016 01:00","4.6","75.5","0.0","--","0.3","0.0"
"62","47","Romagnano","01-01-2016 02:00","4.1","77.0","0.0","--","0.5","0.0"
"62","47","Romagnano","01-01-2016 03:00","2.9","81.1","0.0","--","0.4","0.0"
"62","47","Romagnano","01-01-2016 04:00","3.3","81.2","0.0","--","0.3","0.0"
"62","47","Romagnano","01-01-2016 05:00","2.8","81.9","0.0","--","0.4","0.0"
"62","47","Romagnano","01-01-2016 06:00","2.1","83.3","0.0","--","1.2","0.0"
"62","47","Romagnano","01-01-2016 07:00","2.0","83.3","0.0","--","0.8","0.0"
"62","47","Romagnano","01-01-2016 08:00","1.3","83.5","0.0","--","1.4","0.0"
"62","47","Romagnano","01-01-2016 09:00","1.1","84.5","0.0","--","1.6","0.06"
"62","47","Romagnano","01-01-2016 10:00","2.2","82.0","0.0","--","1.3","0.2"
"62","47","Romagnano","01-01-2016 11:00","5.1","69.8","0.0","--","0.7","0.9"
"62","47","Romagnano","01-01-2016 12:00","7.7","57.1","0.0","--","0.5","1.14"
"62","47","Romagnano","01-01-2016 13:00","8.1","58.6","0.0","--","1.9","1.17"
"62","47","Romagnano","01-01-2016 14:00","8.2","61.9","0.0","--","3.2","1.01"
"62","47","Romagnano","01-01-2016 15:00","8.1","71.2","0.0","--","3.8","0.58"
"62","47","Romagnano","01-01-2016 16:00","7.2","68.0","0.0","--","0.3","0.17"
"62","47","Romagnano","01-01-2016 17:00","5.4","72.9","0.0","--","0.1","0.02"
"62","47","Romagnano","01-01-2016 18:00","5.2","76.7","0.0","--","0.9","0.0"
"62","47","Romagnano","01-01-2016 19:00","5.6","73.7","0.0","--","1.2","0.0"
"62","47","Romagnano","01-01-2016 20:00","5.6","73.2","0.0","--","0.3","0.0"
"62","47","Romagnano","01-01-2016 21:00","5.5","76.3","0.0","--","0.2","0.0"
"62","47","Romagnano","01-01-2016 22:00","5.4","76.7","0.0","--","0.3","0.0"
"62","47","Romagnano","01-01-2016 23:00","5.6","75.8","0.0","--","0.0","0.0"
"62","47","Romagnano","02-01-2016 00:00","5.6","74.9","0.0","--","0.0","0.0"
"62","47","Romagnano","02-01-2016 01:00","5.2","75.7","0.0","--","0.0","0.0"
"62","47","Romagnano","02-01-2016 02:00","5.2","74.5","0.0","--","0.0","0.0"
"62","47","Romagnano","02-01-2016 03:00","5.2","74.8","0.0","--","0.0","0.0"
"62","47","Romagnano","02-01-2016 04:00","5.2","73.0","0.0","--","0.0","0.0"
"62","47","Romagnano","02-01-2016 05:00","4.9","71.6","0.0","--","0.0","0.0"
"62","47","Romagnano","02-01-2016 06:00","4.0","73.6","0.0","--","0.5","0.0"
"62","47","Romagnano","02-01-2016 07:00","3.5","75.8","0.0","--","0.4","0.0"
"62","47","Romagnano","02-01-2016 08:00","3.9","74.3","0.0","--","0.9","0.0"
"62","47","Romagnano","02-01-2016 09:00","3.8","73.9","0.0","--","0.6","0.03"
"62","47","Romagnano","02-01-2016 10:00","4.2","72.2","0.0","--","1.0","0.12"
