"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"64","21","Ronzo Chienis","01-01-2017 00:00","0.2","44.4","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2017 01:00","-0.9","48.6","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2017 02:00","-0.3","44.9","0.0","0.0","0.2","0.0"
"64","21","Ronzo Chienis","01-01-2017 03:00","-2.0","51.0","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2017 04:00","-2.5","52.1","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2017 05:00","-2.5","52.5","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2017 06:00","-2.9","54.5","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2017 07:00","-2.9","53.6","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2017 08:00","-2.4","51.0","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","01-01-2017 09:00","-3.3","55.9","0.0","0.0","0.0","0.05"
"64","21","Ronzo Chienis","01-01-2017 10:00","1.8","42.1","0.0","0.0","0.0","0.58"
"64","21","Ronzo Chienis","01-01-2017 11:00","5.5","31.4","0.0","0.0","0.1","1.1"
"64","21","Ronzo Chienis","01-01-2017 12:00","6.1","31.0","0.0","0.0","0.1","1.37"
"64","21","Ronzo Chienis","01-01-2017 13:00","7.3","28.1","0.0","0.0","0.2","1.42"
"64","21","Ronzo Chienis","01-01-2017 14:00","8.2","26.7","0.0","0.0","0.1","1.25"
"64","21","Ronzo Chienis","01-01-2017 15:00","7.1","31.1","0.0","0.0","0.1","0.58"
"64","21","Ronzo Chienis","01-01-2017 16:00","7.1","32.1","0.0","0.0","0.1","0.26"
"64","21","Ronzo Chienis","01-01-2017 17:00","2.3","45.5","0.0","0.0","0.0","0.02"
"64","21","Ronzo Chienis","01-01-2017 18:00","0.0","49.6","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","01-01-2017 19:00","0.2","45.8","0.0","0.0","0.2","0.0"
"64","21","Ronzo Chienis","01-01-2017 20:00","0.1","44.9","0.0","0.0","0.3","0.0"
"64","21","Ronzo Chienis","01-01-2017 21:00","-0.7","47.3","0.0","0.0","0.2","0.0"
"64","21","Ronzo Chienis","01-01-2017 22:00","-0.7","47.3","0.0","0.0","0.3","0.0"
"64","21","Ronzo Chienis","01-01-2017 23:00","-1.2","48.9","0.0","0.0","0.2","0.0"
"64","21","Ronzo Chienis","02-01-2017 00:00","-1.3","49.2","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","02-01-2017 01:00","-1.6","49.4","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","02-01-2017 02:00","-2.5","53.0","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","02-01-2017 03:00","-2.5","53.1","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","02-01-2017 04:00","-3.4","56.1","0.0","0.0","0.2","0.0"
"64","21","Ronzo Chienis","02-01-2017 05:00","-3.5","56.6","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","02-01-2017 06:00","-3.5","56.6","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2017 07:00","-3.2","54.8","0.0","0.0","0.2","0.0"
"64","21","Ronzo Chienis","02-01-2017 08:00","-3.8","56.5","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2017 09:00","-4.5","59.7","0.0","0.0","0.0","0.05"
"64","21","Ronzo Chienis","02-01-2017 10:00","-0.2","46.4","0.0","0.0","0.3","0.57"
"64","21","Ronzo Chienis","02-01-2017 11:00","3.8","35.7","0.0","0.0","0.1","1.07"
"64","21","Ronzo Chienis","02-01-2017 12:00","4.8","33.4","0.0","0.0","0.3","1.33"
"64","21","Ronzo Chienis","02-01-2017 13:00","6.0","31.3","0.0","0.0","0.2","1.38"
"64","21","Ronzo Chienis","02-01-2017 14:00","6.9","30.3","0.0","0.0","0.0","0.89"
"64","21","Ronzo Chienis","02-01-2017 15:00","5.6","33.2","0.0","0.0","0.2","0.57"
"64","21","Ronzo Chienis","02-01-2017 16:00","4.5","37.8","0.0","0.0","0.0","0.23"
"64","21","Ronzo Chienis","02-01-2017 17:00","0.9","51.1","0.0","0.0","0.0","0.04"
"64","21","Ronzo Chienis","02-01-2017 18:00","0.4","53.8","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","02-01-2017 19:00","-0.1","56.0","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2017 20:00","-0.8","59.8","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2017 21:00","-1.0","60.7","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2017 22:00","-1.5","63.5","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","02-01-2017 23:00","-1.6","65.0","0.0","0.0","0.0","0.0"
"64","21","Ronzo Chienis","03-01-2017 00:00","-0.7","58.1","0.0","0.0","0.3","0.0"
"64","21","Ronzo Chienis","03-01-2017 01:00","-0.7","58.2","0.0","0.0","0.1","0.0"
"64","21","Ronzo Chienis","03-01-2017 02:00","0.6","50.8","0.0","0.0","0.6","0.0"
"64","21","Ronzo Chienis","03-01-2017 03:00","2.9","39.4","0.0","0.0","2.0","0.0"
"64","21","Ronzo Chienis","03-01-2017 04:00","2.4","39.2","0.0","0.0","2.2","0.0"
