"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"75","82","Storo","01-01-2016 00:00","0.3","92.4","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2016 01:00","0.3","92.6","0.0","0.0","0.1","0.0"
"75","82","Storo","01-01-2016 02:00","0.0","93.8","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2016 03:00","-0.3","94.5","0.0","0.0","0.1","0.0"
"75","82","Storo","01-01-2016 04:00","-0.5","95.1","0.0","0.0","0.5","0.0"
"75","82","Storo","01-01-2016 05:00","-0.6","95.5","0.0","0.0","1.2","0.0"
"75","82","Storo","01-01-2016 06:00","-0.9","95.9","0.0","0.0","0.2","0.0"
"75","82","Storo","01-01-2016 07:00","-1.4","97.3","0.0","0.0","0.1","0.0"
"75","82","Storo","01-01-2016 08:00","-1.5","96.8","0.0","0.0","0.6","0.0"
"75","82","Storo","01-01-2016 09:00","-1.3","94.0","0.0","0.0","0.2","0.05"
"75","82","Storo","01-01-2016 10:00","-0.4","90.7","0.0","0.0","0.7","0.45"
"75","82","Storo","01-01-2016 11:00","1.0","83.6","0.0","0.0","0.9","0.93"
"75","82","Storo","01-01-2016 12:00","3.5","72.3","0.0","0.0","0.4","1.24"
"75","82","Storo","01-01-2016 13:00","5.0","64.8","0.0","0.0","0.7","1.32"
"75","82","Storo","01-01-2016 14:00","6.2","58.3","0.0","0.0","0.7","1.26"
"75","82","Storo","01-01-2016 15:00","6.9","55.2","0.0","0.0","0.9","0.98"
"75","82","Storo","01-01-2016 16:00","6.1","57.0","0.0","0.0","0.5","0.45"
"75","82","Storo","01-01-2016 17:00","3.2","67.4","0.0","0.0","0.2","0.02"
"75","82","Storo","01-01-2016 18:00","1.8","73.4","0.0","0.0","0.1","0.0"
"75","82","Storo","01-01-2016 19:00","0.8","79.3","0.0","0.0","0.1","0.0"
"75","82","Storo","01-01-2016 20:00","0.1","86.0","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2016 21:00","-0.3","87.8","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2016 22:00","-0.7","91.1","0.0","0.0","0.0","0.0"
"75","82","Storo","01-01-2016 23:00","-1.1","98.3","0.0","0.0","0.0","0.0"
"75","82","Storo","02-01-2016 00:00","-1.2","99.7","0.0","0.0","0.1","0.0"
"75","82","Storo","02-01-2016 01:00","-1.4","100.0","0.0","0.0","0.2","0.0"
"75","82","Storo","02-01-2016 02:00","-1.1","100.0","0.0","0.0","0.0","0.0"
