"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"77","70","Terlago","01-01-2016 00:00","-0.1","83.6","0.0","0.0","0.2","0.0"
"77","70","Terlago","01-01-2016 01:00","-0.3","84.0","0.0","0.0","0.3","0.0"
"77","70","Terlago","01-01-2016 02:00","-0.1","82.6","0.0","0.0","0.8","0.0"
"77","70","Terlago","01-01-2016 03:00","-0.5","84.4","0.0","0.0","0.5","0.0"
"77","70","Terlago","01-01-2016 04:00","-0.9","85.7","0.0","0.0","0.5","0.0"
"77","70","Terlago","01-01-2016 05:00","-1.1","86.7","0.0","0.0","0.6","0.0"
"77","70","Terlago","01-01-2016 06:00","-1.6","88.2","0.0","0.0","0.7","0.0"
"77","70","Terlago","01-01-2016 07:00","-1.8","88.6","0.0","0.0","0.6","0.0"
"77","70","Terlago","01-01-2016 08:00","-2.2","88.9","0.0","0.0","0.8","0.0"
"77","70","Terlago","01-01-2016 09:00","-2.3","88.4","0.0","0.0","0.5","0.06"
"77","70","Terlago","01-01-2016 10:00","-2.1","88.8","0.0","0.0","1.0","0.11"
"77","70","Terlago","01-01-2016 11:00","1.7","71.5","0.0","11.0","0.8","1.15"
"77","70","Terlago","01-01-2016 12:00","4.2","58.3","0.0","0.0","0.7","1.19"
"77","70","Terlago","01-01-2016 13:00","5.9","50.3","0.0","0.0","0.8","1.23"
"77","70","Terlago","01-01-2016 14:00","4.4","53.4","0.0","0.0","1.5","1.04"
"77","70","Terlago","01-01-2016 15:00","4.4","52.2","0.0","0.0","1.4","0.68"
"77","70","Terlago","01-01-2016 16:00","3.4","54.9","0.0","0.0","1.3","0.12"
"77","70","Terlago","01-01-2016 17:00","2.6","57.8","0.0","0.0","0.9","0.02"
"77","70","Terlago","01-01-2016 18:00","0.8","66.9","0.0","0.0","0.8","0.0"
"77","70","Terlago","01-01-2016 19:00","-0.2","72.4","0.0","0.0","0.4","0.0"
"77","70","Terlago","01-01-2016 20:00","-0.8","75.1","0.0","0.0","0.3","0.0"
"77","70","Terlago","01-01-2016 21:00","-1.2","76.3","0.0","0.0","0.6","0.0"
"77","70","Terlago","01-01-2016 22:00","-2.1","82.4","0.0","0.0","0.3","0.0"
"77","70","Terlago","01-01-2016 23:00","-1.9","80.6","0.0","0.0","0.3","0.0"
"77","70","Terlago","02-01-2016 00:00","-2.6","83.1","0.0","0.0","0.5","0.0"
"77","70","Terlago","02-01-2016 01:00","-3.4","87.0","0.0","0.0","0.4","0.0"
"77","70","Terlago","02-01-2016 02:00","-3.7","89.1","0.0","0.0","0.3","0.0"
"77","70","Terlago","02-01-2016 03:00","-3.5","88.7","0.0","0.0","0.4","0.0"
"77","70","Terlago","02-01-2016 04:00","-3.3","88.2","0.0","0.0","0.3","0.0"
"77","70","Terlago","02-01-2016 05:00","-3.3","88.6","0.0","0.0","0.4","0.0"
"77","70","Terlago","02-01-2016 06:00","-3.4","88.8","0.0","0.0","0.3","0.0"
"77","70","Terlago","02-01-2016 07:00","-3.8","89.8","0.0","0.0","0.4","0.0"
"77","70","Terlago","02-01-2016 08:00","-3.7","89.3","0.0","0.0","0.3","0.0"
"77","70","Terlago","02-01-2016 09:00","-3.3","88.7","0.0","0.0","0.3","0.06"
"77","70","Terlago","02-01-2016 10:00","-2.6","88.3","0.0","0.0","0.3","0.12"
"77","70","Terlago","02-01-2016 11:00","-1.6","86.3","0.0","0.0","0.1","0.18"
"77","70","Terlago","02-01-2016 12:00","-1.1","84.6","0.0","0.0","0.1","0.19"
"77","70","Terlago","02-01-2016 13:00","0.0","78.5","0.0","0.0","0.2","0.31"
"77","70","Terlago","02-01-2016 14:00","0.4","75.7","0.0","0.0","0.2","0.22"
"77","70","Terlago","02-01-2016 15:00","0.5","76.1","0.0","0.0","0.3","0.16"
"77","70","Terlago","02-01-2016 16:00","-0.4","79.8","0.2","0.0","0.4","0.04"
"77","70","Terlago","02-01-2016 17:00","-1.1","91.9","0.6","0.0","0.3","0.02"
"77","70","Terlago","02-01-2016 18:00","-1.2","95.5","0.4","0.0","0.4","0.0"
"77","70","Terlago","02-01-2016 19:00","-1.1","96.6","0.4","0.0","0.2","0.0"
"77","70","Terlago","02-01-2016 20:00","-1.2","97.2","0.4","0.0","0.4","0.0"
"77","70","Terlago","02-01-2016 21:00","-1.1","97.9","0.2","0.0","0.5","0.0"
"77","70","Terlago","02-01-2016 22:00","-0.7","97.8","0.6","0.0","0.3","0.0"
"77","70","Terlago","02-01-2016 23:00","-0.8","98.0","0.0","0.0","0.3","0.0"
"77","70","Terlago","03-01-2016 00:00","-0.6","98.0","0.0","0.0","0.4","0.0"
"77","70","Terlago","03-01-2016 01:00","-0.6","98.0","0.0","0.0","0.1","0.0"
"77","70","Terlago","03-01-2016 02:00","-0.5","98.2","0.6","0.0","0.0","0.0"
"77","70","Terlago","03-01-2016 03:00","-0.4","98.4","1.0","0.0","0.3","0.0"
"77","70","Terlago","03-01-2016 04:00","-0.4","98.6","0.0","0.0","0.1","0.0"
"77","70","Terlago","03-01-2016 05:00","-0.5","98.8","0.0","0.0","0.1","0.0"
"77","70","Terlago","03-01-2016 06:00","-0.8","98.9","0.0","0.0","0.2","0.0"
"77","70","Terlago","03-01-2016 07:00","-1.0","99.0","0.0","0.0","0.2","0.0"
"77","70","Terlago","03-01-2016 08:00","-1.2","99.2","0.0","0.0","0.2","0.0"
"77","70","Terlago","03-01-2016 09:00","-1.3","99.4","0.0","0.0","0.1","0.03"
"77","70","Terlago","03-01-2016 10:00","0.0","97.6","0.0","21.0","0.8","0.08"
"77","70","Terlago","03-01-2016 11:00","0.8","92.6","0.0","60.0","0.4","0.11"
"77","70","Terlago","03-01-2016 12:00","1.7","85.7","0.0","60.0","0.3","0.17"
"77","70","Terlago","03-01-2016 13:00","1.4","88.2","0.0","60.0","0.6","0.28"
"77","70","Terlago","03-01-2016 14:00","1.9","85.1","0.0","60.0","0.6","0.51"
"77","70","Terlago","03-01-2016 15:00","1.0","91.7","0.0","60.0","0.4","0.3"
"77","70","Terlago","03-01-2016 16:00","0.2","93.6","0.0","60.0","1.0","0.15"
"77","70","Terlago","03-01-2016 17:00","-0.6","96.5","0.0","7.0","0.4","0.03"
"77","70","Terlago","03-01-2016 18:00","-1.3","98.2","0.0","0.0","0.4","0.0"
"77","70","Terlago","03-01-2016 19:00","-1.1","98.9","0.0","0.0","0.2","0.0"
"77","70","Terlago","03-01-2016 20:00","-0.3","98.8","0.0","0.0","0.4","0.0"
"77","70","Terlago","03-01-2016 21:00","-0.2","98.7","0.0","0.0","0.3","0.0"
"77","70","Terlago","03-01-2016 22:00","-0.1","98.7","0.0","13.0","0.3","0.0"
"77","70","Terlago","03-01-2016 23:00","-0.1","98.8","0.0","60.0","0.5","0.0"
"77","70","Terlago","04-01-2016 00:00","0.1","98.9","0.0","60.0","0.4","0.0"
"77","70","Terlago","04-01-2016 01:00","0.1","99.1","0.0","60.0","0.5","0.0"
"77","70","Terlago","04-01-2016 02:00","0.3","99.0","0.0","60.0","1.0","0.0"
"77","70","Terlago","04-01-2016 03:00","0.1","98.8","0.0","60.0","0.8","0.0"
"77","70","Terlago","04-01-2016 04:00","0.1","98.0","0.0","60.0","0.5","0.0"
"77","70","Terlago","04-01-2016 05:00","0.3","96.6","0.0","60.0","0.8","0.0"
"77","70","Terlago","04-01-2016 06:00","0.3","95.6","0.2","60.0","0.4","0.0"
"77","70","Terlago","04-01-2016 07:00","0.2","96.2","0.0","60.0","0.7","0.0"
"77","70","Terlago","04-01-2016 08:00","0.2","95.6","0.0","60.0","0.7","0.0"
"77","70","Terlago","04-01-2016 09:00","0.1","96.1","0.0","60.0","0.2","0.03"
"77","70","Terlago","04-01-2016 10:00","0.3","95.0","0.0","60.0","0.3","0.06"
"77","70","Terlago","04-01-2016 11:00","1.5","87.8","0.0","60.0","0.3","0.32"
"77","70","Terlago","04-01-2016 12:00","2.4","81.2","0.0","60.0","0.3","0.42"
"77","70","Terlago","04-01-2016 13:00","2.6","82.2","0.0","60.0","0.6","0.45"
"77","70","Terlago","04-01-2016 14:00","2.7","81.4","0.0","60.0","0.7","0.42"
"77","70","Terlago","04-01-2016 15:00","2.9","79.7","0.0","60.0","1.1","0.53"
"77","70","Terlago","04-01-2016 16:00","2.5","83.1","0.0","54.0","0.6","0.18"
"77","70","Terlago","04-01-2016 17:00","1.6","88.4","0.0","0.0","0.8","0.03"
"77","70","Terlago","04-01-2016 18:00","1.5","90.8","0.0","0.0","1.5","0.0"
"77","70","Terlago","04-01-2016 19:00","1.7","89.6","0.0","0.0","1.3","0.0"
"77","70","Terlago","04-01-2016 20:00","2.2","84.7","0.0","0.0","2.6","0.0"
"77","70","Terlago","04-01-2016 21:00","2.2","82.3","0.0","0.0","2.1","0.0"
"77","70","Terlago","04-01-2016 22:00","1.9","83.6","0.0","0.0","1.3","0.0"
"77","70","Terlago","04-01-2016 23:00","1.4","89.2","0.0","0.0","0.8","0.0"
"77","70","Terlago","05-01-2016 00:00","1.6","86.3","0.0","0.0","0.3","0.0"
"77","70","Terlago","05-01-2016 01:00","1.3","88.1","0.0","0.0","0.2","0.0"
"77","70","Terlago","05-01-2016 02:00","1.2","89.0","0.0","0.0","0.4","0.0"
"77","70","Terlago","05-01-2016 03:00","1.2","88.1","0.0","0.0","0.4","0.0"
"77","70","Terlago","05-01-2016 04:00","1.1","88.9","0.0","0.0","0.1","0.0"
"77","70","Terlago","05-01-2016 05:00","1.0","87.5","0.0","0.0","0.3","0.0"
"77","70","Terlago","05-01-2016 06:00","0.5","90.6","0.0","0.0","0.7","0.0"
"77","70","Terlago","05-01-2016 07:00","0.6","88.8","0.0","0.0","0.2","0.0"
"77","70","Terlago","05-01-2016 08:00","0.5","88.6","0.0","0.0","0.8","0.0"
"77","70","Terlago","05-01-2016 09:00","0.5","87.9","0.0","0.0","0.4","0.11"
"77","70","Terlago","05-01-2016 10:00","1.4","83.2","0.0","0.0","0.5","0.29"
"77","70","Terlago","05-01-2016 11:00","2.3","75.2","0.0","0.0","0.7","0.56"
"77","70","Terlago","05-01-2016 12:00","2.3","75.0","0.0","0.0","0.8","0.5"
"77","70","Terlago","05-01-2016 13:00","2.9","71.9","0.0","1.0","0.6","0.5"
"77","70","Terlago","05-01-2016 14:00","3.4","73.0","0.0","60.0","0.5","0.77"
"77","70","Terlago","05-01-2016 15:00","2.3","79.9","0.0","60.0","0.4","0.25"
"77","70","Terlago","05-01-2016 16:00","2.0","83.2","0.0","60.0","0.5","0.13"
"77","70","Terlago","05-01-2016 17:00","0.6","89.8","0.0","60.0","0.5","0.02"
"77","70","Terlago","05-01-2016 18:00","-0.4","91.9","0.0","53.0","1.0","0.0"
"77","70","Terlago","05-01-2016 19:00","-1.0","94.3","0.0","0.0","0.6","0.0"
"77","70","Terlago","05-01-2016 20:00","-1.4","95.6","0.0","0.0","0.3","0.0"
"77","70","Terlago","05-01-2016 21:00","-1.6","96.1","0.0","0.0","0.4","0.0"
"77","70","Terlago","05-01-2016 22:00","-1.9","95.9","0.0","0.0","0.7","0.0"
"77","70","Terlago","05-01-2016 23:00","-1.9","96.0","0.0","0.0","0.8","0.0"
"77","70","Terlago","06-01-2016 00:00","-2.8","96.7","0.0","0.0","0.7","0.0"
"77","70","Terlago","06-01-2016 01:00","-2.7","98.0","0.0","0.0","0.7","0.0"
"77","70","Terlago","06-01-2016 02:00","-2.3","98.1","0.0","0.0","0.6","0.0"
"77","70","Terlago","06-01-2016 03:00","-2.2","98.5","0.0","0.0","0.6","0.0"
"77","70","Terlago","06-01-2016 04:00","-1.8","98.2","0.0","0.0","0.8","0.0"
"77","70","Terlago","06-01-2016 05:00","-2.2","97.5","0.0","0.0","0.7","0.0"
"77","70","Terlago","06-01-2016 06:00","-3.1","97.5","0.0","0.0","0.6","0.0"
"77","70","Terlago","06-01-2016 07:00","-3.8","98.1","0.0","0.0","0.7","0.0"
"77","70","Terlago","06-01-2016 08:00","-3.8","97.9","0.0","0.0","0.6","0.0"
"77","70","Terlago","06-01-2016 09:00","-3.2","98.1","0.0","0.0","0.9","0.07"
"77","70","Terlago","06-01-2016 10:00","-2.2","98.2","0.0","0.0","0.7","0.22"
"77","70","Terlago","06-01-2016 11:00","-0.9","96.3","0.0","20.0","0.4","0.35"
"77","70","Terlago","06-01-2016 12:00","0.8","86.6","0.0","60.0","2.0","0.71"
"77","70","Terlago","06-01-2016 13:00","2.2","77.4","0.0","60.0","2.2","1.19"
"77","70","Terlago","06-01-2016 14:00","4.5","64.8","0.0","52.0","0.9","0.95"
"77","70","Terlago","06-01-2016 15:00","5.0","59.8","0.0","0.0","1.9","0.78"
"77","70","Terlago","06-01-2016 16:00","2.9","67.9","0.0","0.0","0.8","0.13"
"77","70","Terlago","06-01-2016 17:00","1.0","80.1","0.0","0.0","0.6","0.02"
"77","70","Terlago","06-01-2016 18:00","-0.2","85.0","0.0","0.0","0.3","0.0"
"77","70","Terlago","06-01-2016 19:00","-0.9","87.1","0.0","0.0","0.5","0.0"
"77","70","Terlago","06-01-2016 20:00","-1.7","90.1","0.0","0.0","0.5","0.0"
"77","70","Terlago","06-01-2016 21:00","-2.0","90.8","0.0","0.0","0.4","0.0"
"77","70","Terlago","06-01-2016 22:00","-2.5","92.4","0.0","0.0","0.4","0.0"
"77","70","Terlago","06-01-2016 23:00","-2.3","91.3","0.0","0.0","0.4","0.0"
"77","70","Terlago","07-01-2016 00:00","-2.9","89.7","0.0","0.0","0.4","0.0"
"77","70","Terlago","07-01-2016 01:00","-3.4","92.5","0.0","0.0","0.6","0.0"
