"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"78","93","Terzolas","01-01-2016 00:00","-1.6","89.9","0.0","0.0","0.2","0.0"
"78","93","Terzolas","01-01-2016 01:00","-1.6","90.7","0.0","0.0","0.3","0.0"
"78","93","Terzolas","01-01-2016 02:00","-2.1","91.7","0.0","0.0","0.0","0.0"
"78","93","Terzolas","01-01-2016 03:00","-2.9","94.1","0.0","0.0","0.1","0.0"
"78","93","Terzolas","01-01-2016 04:00","-3.3","95.4","0.0","0.0","0.1","0.0"
"78","93","Terzolas","01-01-2016 05:00","-4.3","96.6","0.0","0.0","0.3","0.0"
"78","93","Terzolas","01-01-2016 06:00","-4.4","97.2","0.0","0.0","0.1","0.0"
"78","93","Terzolas","01-01-2016 07:00","-4.3","96.9","0.0","0.0","0.2","0.0"
"78","93","Terzolas","01-01-2016 08:00","-5.5","97.2","0.0","0.0","0.2","0.0"
"78","93","Terzolas","01-01-2016 09:00","-5.9","97.5","0.0","0.0","0.2","0.06"
"78","93","Terzolas","01-01-2016 10:00","-4.5","96.8","0.0","0.0","0.2","0.26"
"78","93","Terzolas","01-01-2016 11:00","1.7","79.0","0.0","0.0","0.2","0.81"
"78","93","Terzolas","01-01-2016 12:00","6.1","55.3","0.0","0.0","0.3","1.1"
"78","93","Terzolas","01-01-2016 13:00","7.5","48.8","0.0","0.0","0.4","1.15"
"78","93","Terzolas","01-01-2016 14:00","7.9","48.8","0.0","0.0","0.9","1.03"
"78","93","Terzolas","01-01-2016 15:00","6.8","52.9","0.0","0.0","1.7","0.72"
"78","93","Terzolas","01-01-2016 16:00","4.8","64.2","0.0","0.0","1.8","0.17"
"78","93","Terzolas","01-01-2016 17:00","2.9","77.3","0.0","0.0","0.9","0.02"
"78","93","Terzolas","01-01-2016 18:00","-0.3","86.7","0.0","0.0","0.1","0.0"
"78","93","Terzolas","01-01-2016 19:00","-2.1","90.9","0.0","0.0","0.1","0.0"
"78","93","Terzolas","01-01-2016 20:00","-1.9","91.6","0.0","0.0","0.1","0.0"
