"NUMERO","ID","NOME","DATA","T MED","UMID","PG","FB","VEN-VEL","RAD"
"83","86","Vigolo Vattaro","01-01-2016 00:00","0.8","71.9","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 01:00","0.6","73.8","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 02:00","0.5","75.0","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 03:00","0.2","77.1","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 04:00","0.0","78.5","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 05:00","-0.2","78.4","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 06:00","-0.3","78.5","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 07:00","-0.8","81.0","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 08:00","-1.1","80.9","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 09:00","-1.3","80.3","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 10:00","-0.7","77.3","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 11:00","2.3","65.6","0.0","0.0","0.1","--"
"83","86","Vigolo Vattaro","01-01-2016 12:00","4.1","56.2","0.0","0.0","0.1","--"
"83","86","Vigolo Vattaro","01-01-2016 13:00","5.6","50.3","0.0","0.0","0.6","--"
"83","86","Vigolo Vattaro","01-01-2016 14:00","6.9","46.4","0.0","0.0","0.6","--"
"83","86","Vigolo Vattaro","01-01-2016 15:00","6.9","46.3","0.0","0.0","0.4","--"
"83","86","Vigolo Vattaro","01-01-2016 16:00","5.5","50.9","0.0","0.0","0.1","--"
"83","86","Vigolo Vattaro","01-01-2016 17:00","3.7","57.8","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 18:00","2.4","62.5","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 19:00","1.4","66.9","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 20:00","0.6","69.8","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 21:00","0.1","71.8","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 22:00","-0.2","72.6","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","01-01-2016 23:00","-0.6","74.5","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 00:00","-0.7","74.5","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 01:00","-0.9","77.0","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 02:00","-1.0","81.7","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 03:00","-1.3","85.1","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 04:00","-1.3","86.0","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 05:00","-1.6","85.2","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 06:00","-1.7","84.3","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 07:00","-1.8","83.7","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 08:00","-1.8","82.7","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 09:00","-1.5","81.5","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 10:00","-0.8","80.0","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 11:00","-0.4","75.5","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 12:00","0.2","74.1","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 13:00","1.4","71.0","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 14:00","1.1","75.0","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 15:00","0.9","75.5","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 16:00","0.5","77.1","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 17:00","0.2","79.1","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 18:00","0.4","78.8","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 19:00","0.5","79.6","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 20:00","0.5","79.6","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 21:00","0.2","86.1","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 22:00","0.1","90.6","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","02-01-2016 23:00","0.4","90.4","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 00:00","-0.1","91.9","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 01:00","-0.4","93.3","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 02:00","-0.3","94.7","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 03:00","-0.2","95.8","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 04:00","-0.3","96.0","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 05:00","-0.5","96.4","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 06:00","-0.6","96.6","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 07:00","-0.8","97.0","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 08:00","-0.8","97.2","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 09:00","-1.1","96.9","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 10:00","-0.5","96.4","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 11:00","0.9","91.1","0.0","15.0","0.3","--"
"83","86","Vigolo Vattaro","03-01-2016 12:00","3.6","80.2","0.8","0.0","0.2","--"
"83","86","Vigolo Vattaro","03-01-2016 13:00","4.9","73.0","0.0","0.0","0.3","--"
"83","86","Vigolo Vattaro","03-01-2016 14:00","5.1","73.2","0.0","0.0","0.9","--"
"83","86","Vigolo Vattaro","03-01-2016 15:00","3.6","80.3","0.0","0.0","0.4","--"
"83","86","Vigolo Vattaro","03-01-2016 16:00","3.3","85.1","0.0","0.0","0.1","--"
"83","86","Vigolo Vattaro","03-01-2016 17:00","3.1","87.2","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","03-01-2016 18:00","3.3","83.2","0.0","0.0","0.2","--"
"83","86","Vigolo Vattaro","03-01-2016 19:00","3.4","80.7","0.0","0.0","0.2","--"
"83","86","Vigolo Vattaro","03-01-2016 20:00","3.2","81.3","0.0","0.0","0.3","--"
"83","86","Vigolo Vattaro","03-01-2016 21:00","3.0","82.7","0.0","0.0","0.3","--"
"83","86","Vigolo Vattaro","03-01-2016 22:00","2.8","83.9","0.0","0.0","0.4","--"
"83","86","Vigolo Vattaro","03-01-2016 23:00","3.2","80.7","0.0","0.0","0.6","--"
"83","86","Vigolo Vattaro","04-01-2016 00:00","3.2","80.1","0.0","0.0","1.1","--"
"83","86","Vigolo Vattaro","04-01-2016 01:00","2.8","81.3","0.0","0.0","0.6","--"
"83","86","Vigolo Vattaro","04-01-2016 02:00","2.4","83.1","0.0","0.0","0.5","--"
"83","86","Vigolo Vattaro","04-01-2016 03:00","2.1","85.9","0.0","15.0","0.5","--"
"83","86","Vigolo Vattaro","04-01-2016 04:00","2.0","88.6","0.4","60.0","0.2","--"
"83","86","Vigolo Vattaro","04-01-2016 05:00","1.6","93.1","0.2","60.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 06:00","1.4","94.2","0.6","25.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 07:00","0.8","95.6","0.6","0.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 08:00","0.8","96.3","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 09:00","0.9","96.5","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 10:00","1.2","96.3","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 11:00","1.4","96.3","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 12:00","1.5","96.2","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 13:00","1.7","96.2","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 14:00","2.4","94.1","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 15:00","3.0","89.8","0.0","0.0","0.2","--"
"83","86","Vigolo Vattaro","04-01-2016 16:00","2.5","92.0","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 17:00","2.1","92.5","0.2","0.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 18:00","1.4","93.3","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 19:00","1.0","94.5","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 20:00","0.8","95.8","0.0","15.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 21:00","0.9","95.6","0.0","60.0","0.0","--"
"83","86","Vigolo Vattaro","04-01-2016 22:00","0.8","93.1","0.0","60.0","0.1","--"
"83","86","Vigolo Vattaro","04-01-2016 23:00","1.1","87.7","0.0","15.0","0.1","--"
"83","86","Vigolo Vattaro","05-01-2016 00:00","1.4","84.8","0.0","0.0","0.3","--"
"83","86","Vigolo Vattaro","05-01-2016 01:00","1.1","89.0","0.0","0.0","0.4","--"
"83","86","Vigolo Vattaro","05-01-2016 02:00","0.6","88.4","0.0","0.0","0.4","--"
"83","86","Vigolo Vattaro","05-01-2016 03:00","0.3","88.5","0.0","0.0","0.4","--"
"83","86","Vigolo Vattaro","05-01-2016 04:00","0.4","82.3","0.0","0.0","0.8","--"
"83","86","Vigolo Vattaro","05-01-2016 05:00","-0.4","85.4","0.0","0.0","0.3","--"
"83","86","Vigolo Vattaro","05-01-2016 06:00","-1.0","87.8","0.0","0.0","0.1","--"
"83","86","Vigolo Vattaro","05-01-2016 07:00","-0.5","84.0","0.0","0.0","0.5","--"
"83","86","Vigolo Vattaro","05-01-2016 08:00","-0.7","85.1","0.0","0.0","0.3","--"
"83","86","Vigolo Vattaro","05-01-2016 09:00","-0.6","84.2","0.0","0.0","0.2","--"
"83","86","Vigolo Vattaro","05-01-2016 10:00","0.5","80.9","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","05-01-2016 11:00","1.8","75.1","0.0","0.0","0.1","--"
"83","86","Vigolo Vattaro","05-01-2016 12:00","2.3","75.5","0.0","0.0","0.1","--"
"83","86","Vigolo Vattaro","05-01-2016 13:00","4.0","69.0","0.0","0.0","0.3","--"
"83","86","Vigolo Vattaro","05-01-2016 14:00","5.7","63.5","0.0","0.0","0.7","--"
"83","86","Vigolo Vattaro","05-01-2016 15:00","3.7","70.0","0.0","0.0","0.1","--"
"83","86","Vigolo Vattaro","05-01-2016 16:00","3.2","71.1","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","05-01-2016 17:00","1.9","76.8","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","05-01-2016 18:00","0.8","82.9","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","05-01-2016 19:00","0.6","83.5","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","05-01-2016 20:00","0.0","85.7","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","05-01-2016 21:00","-0.2","87.9","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","05-01-2016 22:00","-0.4","87.6","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","05-01-2016 23:00","-0.9","88.7","0.0","0.0","0.0","--"
"83","86","Vigolo Vattaro","06-01-2016 00:00","-1.4","90.7","0.0","0.0","0.0","--"
